uid	text	label	metadata__balanced_train	metadata__row_number
11870	#GloriaSteinem #WomensMarch \nSpooky Past with #CIA \nhttps://t.co/NxaSz9FjSA\n@GloriaSteinem @STisdale1	1	0	11870
11381	#GrassrootsFeminism on crowded train to #womensmarch: Which Side Are You On? The Freedom Side! #ItTakesRoots https://t.co/tpuD6dvNtC	1	0	11381
846	#HIFF team very proud to march with 8000 (!) friends &amp; colleagues in Park City today, in solidarity with #womensmarch around the world! https://t.co/lCXJTuFBmR	1	1	846
10767	#HereToStay Immigrants make America Great https://t.co/hXxQkUDavc	1	0	10767
1119	#History #Hugs #Bikes #Books #WomensMarch and More Today in the News... https://t.co/nYwyroThXW	1	0	1119
18624	#Hysterical #Paranoid #Transference #Neurosis projected onto #Trump. https://t.co/ylN3jO1wHS	0	1	18624
13075	#ICT folks, if you can't make it to DC, join Dr. Roswurm at the local #WomensMarch. https://t.co/sSpSjhTTZ5	1	0	13075
12992	#IMarchFor Love and Equality ❤🏳️‍🌈 #WomensMarch	1	0	12992
14604	#IStandWithPP  and I marched at the @womensmarch in DC to say so! https://t.co/nFWvjbr4Dd	1	0	14604
17638	#IStandWithSummerZervos and all of the women who trump sexually abused!!!! https://t.co/uDhWSXHKi5	1	0	17638
16769	#ImMarching The #WomensMarch on Washington has released an unapologetically progressive platform. https://t.co/hsmJlGCpvL via @doublexmag	1	0	16769
5394	#ImWithHer #WomensMarch  #NastyWomanVote #AMJOY #TheResistance #PeopleOath #DMVFollowers Someone needs to defend &amp; advocate for Americans.😢 https://t.co/0NRWrhpEeM	1	0	5394
9662	#Inauguration #WomensMarch Throwing Shade and nothing but disrespect towards the president isn't going to change anything probably worsen it	0	1	9662
8796	#Inauguration yesterday made me depressed. But #WomensMarch today makes me happy and proud!	1	0	8796
10154	#Inaugurination is one of my new favorite words https://t.co/zxJHlIlIyf	0	1	10154
11463	#InclusionRevolution\n#WomensMarchOnWashington \n#WomensMarch EVERYWHERE \nWomen's Rights Are Human Rights! https://t.co/TnbtxLKwV3	1	0	11463
12623	#Inspiration. #womensmarch #womensmarchonwashington @ The Mall (Washington DC) https://t.co/l8UXmdQTpw	1	1	12623
6100	#John Fitzgerald Kennedy\nall support missing or... no countability\n@GOP #Treachery https://t.co/QMrvEW0L53	1	0	6100
2852	#JustinTrudeau #WomensMarch Pls let's make sure Canada follows us and not just US. Feminism = equality. Equality = truth. Truth = universal.	1	0	2852
18431	#JustinTrudeau praises #WomensMarch as inspirational https://t.co/mjGFI1huPk via @TheWorldPost	1	0	18431
660	#Keepingitreal The @POTUS is Donald J Trump &amp; only one thing will change that #VOTE2020, not #Dems organizing #WomensMarch @DanScavino https://t.co/GdQ8peepOn	0	1	660
2285	#LadyLiberty is not happy with the current state of affairs @womensmarch. #resister #womensmarch #peacefulprotest #🗽 https://t.co/mWqkvRBiZ3	1	0	2285
18071	#LeaftopiaLove at Boston Woman's March 2017! #Leaftopia #WomensMarch #WomensMarchBoston  #LoveTrumpsHate #Trump420 #WomensMarchOnWashington https://t.co/c39ET6iEA1	1	0	18071
12361	#LiberalLogic is a Total mental disorder. Watch as the freak show @ #WomensMarch  rolls on with Americas Highly educated😂#Education https://t.co/GawASrHNUQ	0	1	12361
4588	#Liberation over #Equality!  #WomensMarch	1	0	4588
10225	#MSM @ABC @NBC @CBS @CNN @MSNBC whomever covers the protests and interviews people will win a Pulitzer. #TheResistance #trumpleaks https://t.co/kDLXD6lcSa	1	0	10225
14731	#MSNBC HAD to Watch #morningjoe rants about nothing #WomensMarch #IStandWithJohnLewis #PutinPuppet #BlackLivesMatter https://t.co/FvgjBuYRK7	1	0	14731
12975	#Madonna at the #WomensMarch being  a great example to all young women: Behold her beautiful poetic oratory:\nhttps://t.co/frO49CzsoN #TRUMP	1	0	12975
9888	#Madonna set the record straight about some of her fiery comments during the #WomensMarch https://t.co/q0b7XjcPwk https://t.co/Dp3iljHOSo	1	0	9888
13883	#Madonna spoke today at the #WomensMarch In #WashingtonDC  our refusal as women to accept this new age of tyranny https://t.co/DN2ETyKqfQ	1	0	13883
9849	#MarchingShoes + @TeaseandTotes top = 👌🏾ready for #WomensMarch https://t.co/hwq8TzBht7	1	0	9849
19562	#Maui #WomensMarch! \n\n\#WomensRights are #HumanRights and human rights are #Women's rights.\… https://t.co/nkzKTt43Q3	1	0	19562
7156	#MichaelMoore #WomensMarch on Washington Speech Anti Donald #Trump Protest Ashley Judd https://t.co/VSdxoVH4na #UniteBlue #UnpopularPOTUS	1	0	7156
14707	#MillionSkankMarch descends on Sanctuary Cities across the country. No surprise! The same tired #BlameGame  #WomensMarch  #alternativefacts	1	0	14707
6773	#NYC at #PortAuthority were supposed to leave at 345am we still here #WomensMarch #greyhound sucks no more for me. Take me to D.C. Pliz https://t.co/BRD278hIiD	1	1	6773
8732	#NastyWomen won't go down without a fight! I'm right there with you! #7in10forRoe #roe44 #ReproRights #ReproJustice #WomensMarch @NARAL https://t.co/brkb3TyoIX	1	0	8732
10585	#NationalHuggingDay and #WomensMarch  I ship it	1	0	10585
694	#NeverGiveUp\n#NEVERFORGET\n#WOMENSMARCH \n#StrongerTogether \nTrump inauguration: Two Americas in 24 hours\nhttps://t.co/9sNGKE1GHy	1	0	694
1189	#NeveronBrand : \ #baldBillyBob1 told me I look like a happy #Hooker in my new fashion hat I bought on #Amazon \ https://t.co/K9819TPuh0	1	1	1189
1463	#NewBluehand #Bluehand Scrolling through images of the #womensmarch is awe-inspiring. Hope it brought joy to others as it did to me.\n…	1	0	1463
296	#NewYorkers Pitch In to Aid the #WomensMarch https://t.co/D6U0Ch2rFZ #LoveWins #WomensMarchonDC #Design https://t.co/aSYxmPjo2j	1	0	296
12696	#NoDAPL #RiseUp #WomensMarch When we all stand together we all win	1	0	12696
4545	#NoHillaryNoMarch\n\n@womensmarch\n#WomensMarch #WomensMarchOnWashington\n\nJust more revenge because Saint Bernie lost Democratic nomination https://t.co/drGIpaRZR9	1	0	4545
7937	#NoHillaryNoMarch\n\n@womensmarch\n#WomensMarch #WomensMarchOnWashington\n\nThe women's march organizers need to grow up. https://t.co/j3goSyAVX7	0	1	7937
12775	#OMG who might be this lovely person? https://t.co/CbQrb9NJFI	1	0	12775
333	#ObamaFarewell and why we women will march on 1/21/2017! #WomensMarch to show all women that our rights are human rights!	1	1	333
15032	#Patriots #WomensMarch #mondaymotivation Steelers #GBvsATL #RHOA Super Bowl United Airlines Naresh Agarwal White House Anxiety	1	0	15032
17648	#PeaceNotWar #GetThingsDone the right way!! #voices #WomensMarch https://t.co/l7XjkD8PSJ	1	0	17648
4242	#Period. Interesting choice of word #SeanSpicer on day of #WomensMarch https://t.co/RfcDKYvWLd	1	0	4242
18980	#ProLife women aren't represented, welcome in #WomensMarch. It's an #AbortionMarch sponsored by Planned Parenthood. https://t.co/ufwl7Wb0SV https://t.co/ouf6BomDdB	0	1	18980
1503	#Pussy grabs back at #WomensMarch #Bristol today. An honour to stand with my sisters. #Equality #Unity #Trump #protest https://t.co/TMyy0eIteX	1	0	1503
532	#RHOA\nSuper Bowl\n#WomensMarch\n#alternativefacts\n#hewillnotdivideus\n#TwitterCanBeABit\nMango https://t.co/vskUqRhlb7 #Appstore #IPhone #iPAD	1	0	532
11308	#ROLLCALL for all who matched yesterday! ♡♡♡♡\n #womensmarch2017 #womensmarch… https://t.co/8dNm6fRosK	1	0	11308
16405	#RT This was posted by a WOMAN I am friends with on #FACEBOOK I AGREE with her 💯% #WomensMarch HATE IF U WANT BT THIS IS ABSOLUTE #THRUTH 👏😌 https://t.co/oFRb4J4Moa	0	1	16405
6578	#ReSister this is so amazing!!!!!!!!!!! #WomensMarch	1	0	6578
3369	#Repost @popsugarlove with @repostapp\n・・・\nThat's what we want! 🙌💕 Watch the #WomensMarch from… https://t.co/eIKHG9xj5F	1	0	3369
10134	#Repost @shannonmannofficial\n・・・\nSabre up, c'mon ladies lets get in formation ⚔️ #womensmarch #womensequality... https://t.co/Av1WTVpcAA	1	0	10134
1276	#Repost @sophiabush \n・・・\nMy pussy is not up for grabs womensmarch https://t.co/9peKyVG3xK	1	1	1276
16280	#Repost @stilinberlin with @repostapp\n・・・\nAt the #womensmarch today in Berlin. More tremendous… https://t.co/Xrl4768h7J	1	1	16280
12579	#Repost @thejenncarroll with @repostapp\n・・・\nTell them what DEMOCRACY looks like!  #womensmarch https://t.co/5bLsC1YKeC	1	0	12579
11529	#Repost @wearegalantis \n・・・\nwe support 🙏🏻 #WomensMarch https://t.co/kRoJsrxqef	1	1	11529
6820	#Repost @womensmarch \nUnity. Protection. Power. Progress. WOMEN RISE UP ••• Thanks to @ashlukadraws for this DOPE... https://t.co/nnWuuAw2ET	1	0	6820
12174	#ResistFromDay1 \n\nWe outnumber them. \n\nNo hate\n\nNo KKK\n\nNo fascist USA\n\n#NotMyPresident #Russia #Traitor #Resistance #WomensMarch	1	0	12174
5878	#Rihanna at the Women’s March in #NY last night #newyork #newyorkcity #nyc #womensmarch https://t.co/Su3PMGv4Ml	1	0	5878
11937	#SAvSL #Watch #SUBURRA, An #Italian #Sex filled #Political #Gangster #Movie https://t.co/uEGdCazQdL #WomensMarch #FilmsForCricket	1	1	11937
5622	#SMH To people thinking the #WomensMarch was JUST about #PlannedParenthood .	1	0	5622
14841	#SPNFamily supporting the #WomensMarch https://t.co/ZkeBEzElJd	1	1	14841
1199	#ScarlettJohansson at #WomensMarch “Support my daughter who may actually — as a result of the appointments you... https://t.co/vGfyVPC78o	1	0	1199
17867	#SeanSpicer is 21st century Goebbels! Usually Trump wins arguments, but in this, he lost badly to #WomensMarch ! #CrowdSize	1	0	17867
11226	#SecretService Opens Investigation on #Madonna Threatening to Blow Up #WhiteHouse at #WomensMarch\n@DonaldJTrumpJr \n https://t.co/YmOb9A9DEN	1	1	11226
1237	#SenateHearings #FionaApple Debuts Anti-Trump Song'Tiny Hands' in Honor of #WomensMarch #confirmationhearings #Msnbc https://t.co/5HRJx33VjH	1	0	1237
18661	#Sharia our daughters .@Twitter .@womensmarch #nosharialaw https://t.co/47xWWLjBGW	0	1	18661
17292	#ShariaLaw promoted at #WomensMarch https://t.co/sDZTKFf80D	0	1	17292
9603	#SheGetsIt. Thread. https://t.co/ZlKieXYyxP	1	0	9603
15604	#Soros has ties with #WomensMarch debacle https://t.co/vRBFwCBmwU	0	1	15604
5137	#Soros-Funded Groups Back Anti-#Trump #WomensMarch\nhttps://t.co/IeQTRDxCCS #Pizzagate	0	1	5137
1367	#SpicerFacts No one showed up at any of the #WomensMarch gatherings anywhere on the planet. The media just CGI'd them into film and photos.	1	1	1367
7896	#StandIndivisible #WomensMarch Marching Stronger Together https://t.co/nWVAUIGmKy	1	0	7896
17673	#StandIndivisible Denver rocks, tokes and brews! https://t.co/9rHq6AC4Xk	1	0	17673
6531	#StayWokeandFight. Join NAACP Youth @CornellWBrooks @Jidenna @TamikaDMallory at #TPI2017 Rally before @womensmarch: https://t.co/h4y5felzwX https://t.co/ft15rDaM6C	1	0	6531
2229	#StillWithHer signs abounded. You were very much with us. https://t.co/VPPMmc9E30	1	0	2229
11390	#Suppression will not be tolerated. #WomensMarchOnWashington https://t.co/qy0r4XWxEL	1	0	11390
18122	#TNTweeters #USLatino #USA #WomensMarch #theResistanse #fightlikehell \n\nYES! All the rallies in the world mean nothing unless we VOTE! https://t.co/ZPfqSKDgs6	1	0	18122
6305	#ThankYou ! Real men defend #women &amp; #equality !  #CivilRights #WomensMarch #Resistance\n#TheResistance #TheResistanceGQ #Resist ❤️ https://t.co/0XUxbetwoe	1	0	6305
935	#TheResistance #WomensMarch Get ready for THIS https://t.co/ibAc6DIwQL	1	0	935
843	#TheResistance #WomensMarch Report everything. Take every threat seriously. \n\n#WomensMarchOnWashington #Resist #Report #VIGILANCE https://t.co/2I2yoEmKjs	1	0	843
11051	#TheResistance @realDonaldTrump is like the fucking #Borg https://t.co/yiNJYxgf78	1	0	11051
15706	#TheResistance Unite and fight! #NEVEROURPRESIDENT https://t.co/QQZTMRGrmO	1	1	15706
598	#TheResistance if you have strategies to make the #WomensMarch safer, mention me in the a tweet &amp; I'll add to this moment	1	0	598
19180	#TheResistance is the only ethical choice #BlackLivesMatter #womensmarch  https://t.co/o5m8SHXYbW	1	0	19180
18954	#TheResistance needs to continue beyond the #WomensMarch &amp; we must ensure neoliberal hacks like #DebbieWasswermanSchultz don't hijack it.	1	0	18954
19585	#TheResistance will be twitterized! #Toronto #WomensMarch #cdnpoli  @WeTalkWomen https://t.co/ldKtlP6Vij	1	0	19585
14539	#Tokyo, #Japan: #WomensMarch held to protest #TrumpInauguration.\n\n#DumpTrump #Trump \nhttps://t.co/PZrqzg5NOR	1	1	14539
8689	#Toronto #womensrights #womensmarch #GodBlessAmerica @realDonaldTrump they turned their backs yesterday in silent protest, look at today! https://t.co/5xwS2Ytdbo	1	0	8689
2524	#Trump #womensmarch NYC protest - Girl's just want to have fundamental human rights https://t.co/XmnXs3xioH	1	0	2524
13723	#Trump Islam is EVIL! They do not come in peace! WAKE UP‼️‼️‼️RT https://t.co/HrUN1NxopX	0	1	13723
4314	#Trump already making America great again with health improvements by getting women off their fat  arses and walking in the #womensmarch	0	1	4314
3280	#Trump chooses a Pro Settlement funder🙈to possibly broker peace between Israel&amp; #Palestine ● #WomensMarch #Gma #Nyc https://t.co/IZ3Hw0CyPP	1	0	3280
9286	#Trump doesn't even mention the incredible #WomensMarch going on around the world but can cry about size! #SizeMatters #GetItTogetherDonald	1	0	9286
10915	#Trump should recognize the #WomensMarch and address the concerns raised in a respectful manner instead of lashing out.. @POTUS	1	0	10915
9511	#Trump vs Abraham Lincoln: The Presidential HAND SIZE Debate! #tinyhands #womensmarch\nhttps://t.co/0DusGna1hk - TheYoungTurks	1	0	9511
3697	#Trump's TV is full of tiny finger smudges. He spent all day yesterday trying 2 count the number of ppl at his inauguration vs. #womensmarch	1	0	3697
11603	#TrumpCantCountVery Well  #WomensMarch https://t.co/ldeKsxn5Bl  (f)	1	1	11603
18149	#TrumpInauguration #Trump lowest participation in your sham of a swearing in. However #WomansMarchOnWashington ROCKS! Way higher turnout! https://t.co/mxcp7aFYUB	1	0	18149
3052	#TrumpTheHypocrite: His #MAGA hats are produced in Vietnam, NOT in USA. The other ones of the #WomensMarch, are 100% handcrafted in USA. https://t.co/GQk6PUeyZD	1	0	3052
3444	#UnitedWeStand 🇺🇸\nTRUMP Will Try to ➗ US but the World is on our side. \nHe &amp; Putin are not THE PEOPLE.\n #WomensMarch Around🌎 is who WE ARE❤️ https://t.co/S6fZs3DbB8	1	0	3444
13345	#Vermont is shut down. Can't fit anymore people! #WomensMarch 💕🇺🇸💕🇺🇸	1	0	13345
12525	#WMW #WomensMarchWashinton @womensmarch awesome history made https://t.co/q4rcZvCL4V	1	0	12525
8247	#WOMENFORTRUMP WILL NOT PUT THEIR DAUGHTERS IN THIS POSITION FOR ANYONE. HOLLYWOOD AND THE DEMOCRATS CAN HAVE IT. https://t.co/v9jTbxnl7N	0	1	8247
12043	#WWJT? Prob #istandwithpp at the #womensmarch! https://t.co/TFC6VKfMs3	1	1	12043
17061	#WeRise #WomensMarch  #NastyWomanVote  #TheNightlyShow #AMJOY #TheResistance #PeopleOath #DMVFollowers GOP priorities, never forget! 2018! https://t.co/OIJTSrdCPY	1	1	17061
6256	#WeRise #WomensMarch  #NastyWomanVote  #TheNightlyShow #AMJOY #TheResistance #PeopleOath #DMVFollowers Great show! https://t.co/aD6iqdCwHY	1	0	6256
16757	#WeRise #WomensMarch  #NastyWomanVote  #TheNightlyShow #AMJOY #TheResistance #PeopleOath #DMVFollowers WW \woke\!👏🏽👏🏽👍🏽💯🇺🇸 https://t.co/2lxEl4lqdk	1	0	16757
14354	#WeRise #WomensMarch  #NastyWomanVote  #TheNightlyShow #AMJOY #TheResistance #PeopleOath Guess he forgot Hillary won popular vote by &gt; 3m! https://t.co/wQFw9VW4uC	1	0	14354
18585	#WeRise #WomensMarch  #TheNightlyShow #AMJOY #TheResistance #PeopleOath #DMVFollowers Does EC feel any responsibility 4 POTUS' actions?😳🇺🇸💯 https://t.co/wu81DJIuUt	1	0	18585
12761	#WeThePeople - signs for the #womensmarch in #Southampton https://t.co/Fetojx1t5v https://t.co/p5MXySwwoS	1	0	12761
14814	#WeThePeople fight back, we are majority united and we stand #StrongerTogether! Resist Fascism! #WomensMarch #LGBT #BlackLivesMatter	1	0	14814
3526	#Westchester contingent at #WomensMarch in DC via @SwapnaVenugopal  https://t.co/lUJRkdSiYI	1	1	3526
19457	#Whoop!\n#WomensMarch Is The Biggest Protest In US History As An Estimated 2.9 Million March via @politicususa https://t.co/mzM7RV1Qnq	1	0	19457
16151	#WhyIMarch\n\nI march because I can;\n\nI march because I want to;\n\nI march because I was raised by… https://t.co/isDDW4RzuB	1	0	16151
693	#WhyIMarch\n#Respect is valuing each others views, being open, accepting people as they are, being polite, kind &amp; not discussing differences.	1	0	693
13748	#WhyIMarch\nBecause when I was very young, I learned that Dr. King &amp; the entire civil rights mvmt had shown the way - &amp; we've lost our way.	1	0	13748
11290	#WhyIMarch\n\nBecause Alberta patients and medical staff are targeted with #antichoice bullying &amp; harassment. In 2017.\n#notcounseling	1	0	11290
6263	#WhyIMarch  Raising my voice. Standing with my sisters. https://t.co/GmM8CJ615C	1	0	6263
16441	#WhyIMarch #womensmarch #womensmarchlondon The right one for you @AlecBaldwin https://t.co/oBAQlBton1	1	0	16441
259	#WhyIMarch #womensrightsarehumanrights #mybodymychoice #womensmarch @ The Capitol, Washington D.C. https://t.co/YYSTQbTYcX	1	0	259
1802	#WhyIMarch : Supporting Women's Rights at the #WomensMarchTO for solidarity for everyone around the world 💞 https://t.co/Ff7SssFIzU	1	0	1802
9022	#WhyIMarch : for those who have been abused, ignored and undermined. @womenmarchphila	1	0	9022
