uid	text	label	metadata__row_number
3353	@CarolynBMaloney @ggmts_ann More records released for him than any other nominee.  300+ cases to be reviewed.  You have all the information you need.  You just simply do not want him to be on Supreme Court.	1	3353
2313	@ChuckGrassley @SenMajLdr On Sunday, before her name was public, Christine Blasey Ford alerted an assoc. via email that GOP and Federalist Society operative Ed Whelan had looked at her LinkedIn page. If Kavanaugh didn't assault ANYONE, how did he and associates know Ford's name?	0	2313
2615	@ChuckGrassley Clean up your own house. Then investigate. If Kavanaugh had nothing to hide, he would welcome the chance to clear his name. You are roaming this down our throats https://t.co/Q36cuSg3Cx	0	2615
2593	@ChuckGrassley No more extensions please! Get Kavanaugh in! She can be heard later, if she ever finds the guts to face the music.	1	2593
715	@ChuckGrassley Please do not let Ford’s lawyers get away with Judge Kavanaugh having to testify first.  That is ridiculous!!! You are the Chairman NOT Schumer. Step up and tell Schumer to STHU.	1	715
2286	@ChuckGrassley You are another poster child for term limits and mandatory retirement age. The fact that you have to give Kavanaugh an explanation is very telling. The fix is in, you all don't care what he did. You just want to stack the court. #MERRICKGARLAND. He deserved a hearing.	0	2286
2198	@ClaudiaWheatley @k0oL_AiD @karolcummins @ChuckGrassley Doesn't matter what anyone 'believes'.  B/c this torches and pitchfork mob rule is a farce. Only the law matters, and it guarantees that #Kavanaugh is default innocent until his accuser proves him guilty--with evidence.  Sayso is not ever enough.  I say you are a child molester! https://t.co/BLJf6dbWb6	1	2198
1273	@CoryGardner DR. FORD AND HER LAWYERS HAVE ABUSED THE KINDNESS AND THE MANY OPTIONS THAT THE JUDICIARY COMMITTEE HAS GIVEN HER. SHE DOES NOT DESERVE ANY FURTHER CONSIDERATION FOR ANYTHING! TIME TO VOTE JUDGE KAVANAUGH OUT OF COMMITTEE ON MONDAY!	1	1273
884	@DFBHarvard And what about Brett Kavanaugh’s wife &amp; family?  Why did DiFi wait until now to bring up these allegation?  She’s a corrupt, deceitful liberal hack.	1	884
3135	@DanEggenWPost #Kavanaugh is a great intellect and a Judge ... Why does he need to hire an Attorney ??? Why does he need prepping for a week at WH, if this is testimony ... He has practiced this, his whole life !!!	0	3135
866	@DanEggenWPost @jonfavs Well Sir, imagine how frustrated we all are thinking that he may be on the Supreme Court. At best he’s probably a liar. At worst, who knows. Not worthy of the position	0	866
70	@DavidShuster @senjudiciary The Republicans hope to create a faux-judicial arena around Dr. Ford's trauma. They'll use the same \asked for it\ and \how bad could it have been\ tactics that law enforcement has used, and then declare Kavanaugh \innocent\. She's wise to proceed cautiously.	0	70
2996	@Debwrightjones @RTeapot @Bodyart4Ever @SenFeinstein Stay on topic, sweetheart.  Talking about Kavanaugh here.  Whataboutisms are for those who have no solid response.	0	2996
1198	@DiamondandSilk Not really. The Dems only know one word: IMPEACH! As I recall, that hasn't been tried since Earl Warren. Dems appear paranoid about the potential threat Kavanaugh poses to their cherish aspirations to control others. Dictatorial authoritarians? Dems, hands down &amp; forever I guess.	1	1198
640	@Dogman1013 In my gut I believe FORD WILL NOT TEASTIFY. There will be a FINAL RUSE by Fords attorney that she will not testify due to a nervous breakdown. OF COURSE THIS WILL BE A PLOY AND FABRICATION TO DERAIL KAVANAUGH FROM APPOINTMENT TO THE SUPREME COURT	1	640
879	@EWErickson I can see the #resistance having Kavanaugh hauled away in handcuffs as a final act to taint his nomination.	1	879
686	@EdKrassen Wow I truly hope that does not come to pass.  Kavanaugh should NEVER make SCOTUS!	0	686
1099	@EdwardTHardy Good. Because it isn’t just that he doesn’t deserve a Supreme Court seat. He doesn’t deserve a seat on the DC circuit court other, nor an appointment to the bar. In fact, he needs to be prosecuted for perjury and sexual assault and face prison time.	0	1099
3530	@Elizabe32720841 @ChuckGrassley Well, there you go, good for you.  That's what I was looking for! So, don't silence Judge Kavanaugh either then. See how that works? He has every right to defend himself against false charges, especially after 36 years. #IStandWithBrett #IBelieveHim #ConfirmKavanaugh #GoodMan	1	3530
3527	@EricBoehlert @AlanTudyk Wait, I missed the part where Supreme Court nominees who are not confirmed at the vote get executed. When was that change made?	0	3527
468	@FoxNews @Love_The_Donald Getting great phrases from these dems this week to use back at them.  Mazie Hirono, step up or shut up. Just confirm Kavanaugh, this woman story is about as cooked up as I've ever heard.	1	468
3281	@FoxNews Vote Kavanaugh to SCOTUS.  Democrats will try and derail any Republican nominee.	1	3281
907	@FoxNews What the #DEMS are going to do when they find out the #Kavanaugh accusations was a lie!!! 😂😂 @dbongino	1	907
831	@FoxNewsInsider @PeteHegseth @foxandfriends Ellison is an abuser if he's not removed why not approve Kavanaugh	1	831
807	@GOP will lose votes if they don’t appt Kavanaugh just to appease Ford.   Why show up to vote if @ChuckGrassley / Reps won’t back @POTUS agenda we voted for &amp; keep caving to Dems? VERY obvious delay tactics. They’ll think it’s pointless.   Appt Kavanaugh, Renew the faith in @GOP	1	807
2447	@GovMikeHuckabee You seem to think that being found guilty in a court of law and losing freedom by going to prison are the same things as being found guilty in the court of public opinion and losing the ability to sit on the Supreme Court. I'm sure Franklin knew the difference.	0	2447
1232	@HotDamnTamale @MSNBC @Lawrence Let’s remember she never used word sexually assalted.She said groped-clothes on. What is she trying to accomplish in this? Keep Kavanaugh from being confirmed. There’s never been any claims from college, law school, clerking,working, if he was a liberal would u say don’t confirm?	1	1232
2391	@HouseGOP Christine Ford is obviously a psych case, as many psychologists actually are, especially California \psychologists\: https://t.co/r3p1ATTYm4	1	2391
2881	@Islegrlnfl @JuddLegum Umm, you might want to do some research.  He testified first and last.  Would Kavanaugh be given the same treatment?	1	2881
2709	@ItsMeCathi @realDonaldTrump No evidence, no further accusers, not matching his character; someone has their facts wrong.  She might have been attacked, but it wasn’t Kavanaugh.	1	2709
898	@IvankaTrump how do you support a rapist?  #Kavanaugh is a rapist.	0	898
379	@JRubinBlogger @DemFromCT 1) He's not, and won't be, disgraced.  2) He will be, however, confirmed within 10 days as a Supreme Court Justice.  3) You will cry, and follow the laser pointer to the next gasping headline.	1	379
2528	@JRubinBlogger Don't understand why the Republicans haven't dumped Kavanaugh. Same with Trump. They have Pence and any number of judges to choose from.	0	2528
3041	@JeffFlake No they shouldn't.  So how can you continue to enable his father's administration? Stand up for women, stand up for our country and vote NO on Kavanaugh. YOU have the power to protect us against Trump's corrupt agenda.	0	3041
983	@JeffFlake don't let Schumer make a joke out of our system, please. 36 yrs ago, little details or facts, in a court this would be tossed out day one. Seems to me Kavanaugh is the victim.	1	983
3213	@JudgeJeanine I believe that my Father in Heaven is going to stand up for my President's pick for Supreme Court pick. This Lady is a liar.	1	3213
845	@KurtSchlichter If something Brett Kavanaugh \allegedly\ did at 17 matters 36 years later, surely the confirmed DUI, and attempted hit and run of then 26 year old O'Rourke should matter now. Right liberals? (I won't hold my breath.)	1	845
2133	@LaylaAlisha11 Dems win, GOP can’t or won’t do anything to help Trump and Kavanaugh. I swear we would be better off voting everyone of these incumbent slugs out ,and voting jr. congress and Senate. They couldn’t do any worse than what we have	1	2133
170	@LegalRealist @Trumpist6 @redsteeze You just completely skipped the past where she said she doesn't know Kavanaugh.	1	170
2465	@LibertyConv @JailRot @J_Hurstman @AriFleischer @GOP Oh My God -She only reported bc they were going to nominate him to be a supreme court justice!! The highest most ethical position you can have in our country and she knew he tried to sexually assault her!!! She had to alert them!!	0	2465
1590	@Lrihendry Kavanaugh, Bork, Thomas, Estrada. Same playbook, different day. The Democrats are sociopathic liars.	1	1590
2463	@MMREMTP @joyfulintulsa @thedemaj @ee_cronin @chrislhayes He is a liar, a gambler, a misogynist, a Republican operative. He thinks a president can't even be investigated. (As John Dean pointed out, POTUS could shoot someone on Fifth Ave and Kavanaugh says we shouldn't investigate a sitting pres.) Also, where did his money come from?	0	2463
1544	@MSNBC STOP w/Kavanaugh ads of support!	0	1544
220	@Matthew____P @darthur111 @nhdjinn @davealvord164 @olystubbies44 @_weebutmighty @rcat20sk @sc_lorraine @mizdonna @salty_dawg69 @sportsmom9433 @RadGeekpartduex @kicksave24 @KingBroly @Torian_Girl @unseen1_unseen @blc3428 @SpicyNoodles2 @melanie_ward1 @NHMommy1 @305local @DrPainsInfo @ADikHurricane @is_contagious @BrandonHathaw12 @BluesBrother91 @NedFlan12345678 @stevenlp @MfknDrago @kjgillenwater @Madrogran @ByronFackenthal @jerryhoops33 @BigRfaze @UniverseatLarge @ja985601_cobb @SemperMAGA @jskielb3 @imbearpaul @TheRand2025 @julieinthemist @orangecone21 @IKantEvenToday @misterbadkat @Known__Unknowns @UrUnpaidPundit @PrissysTruth @ChadPergram @GretchenInOK @senorrinhatch They very simply can't. They don't have the votes since the 3 super Rinos are back to \maybe\. Alternatives are 2 ... ride it out until it/she/they self destruct or pull nomination.  We have to do the first or Kavanaugh is destroyed.	1	220
1115	@MikeBright74 @JulianSvendsen It’s been 24 years since my sexual assault but I haven’t come out and named him. If he was up for a seat on the Supreme Court though, sure as hell I’d be calling him out.	0	1115
768	@MomCLW @DanHenninger @WSJopinion \Judge Kavanaugh’s nomination...is being decided in the Senate by the medieval practice of trial by ordeal, such as surviving immersion in fire or ice. Trial by ordeal was outlawed by the Lateran Council in 1215.\  Strong stuff. 👍	1	768
865	@MsMightyPen @jwlarrabee @Avonan BK is the Supreme Court equivalent to Trump's presidency; unethical, indecent, amoral and no regard for the rule of law - it's no wonder he has Trump's ringing endorsement!  #45DaystoNov6th #StopKavanaugh	0	865
2250	@PattyMurray Dear Senator Murray - your tweets are so biased. You make it sound as if you somehow know that Judge Kavanaugh is guilty of sexually assaulting Dr. Ford. What happened to \presumption of innocence\?	1	2250
2095	@Prison4Trump The only thing Kavanaugh is a casualty of is his own sordid misogynistic unremorseful past ... pathetic!!!!!	0	2095
3215	@QUEPANBIA @geric_andy As long as men with accusations, trump, kavanaugh etc, face no real consequences (neither are in jail and still have jobs) and women who come forward get treated like trash (death threats) I will stand up for the victim. They clearly need it more.	0	3215
764	@RealKellyJones isn’t MAGA#! Remove her from this train! She’s #Resist, #Metoo, and against #Kavanaugh! https://t.co/AE8xwMs9Ga	1	764
2481	@RealPamelaAnne @AnnaApp91838450 @grizzlemeister @ChuckGrassley STOP wasting taxpayers money!  Democrats had a responsibility to share this information the day @POTUS announced Judge Kavanaugh for replacement.   Considering the salaries of everyone involved - a fortune has been wasted already.  #ConfirmJudgeKavanaugh #ConfirmKavanaghNow	1	2481
3111	@RealSaavedra @DineshDSouza Please Look Jesus spare J Kavanaugh from these sa ta nic dims	1	3111
3043	@RepMarkMeadows Declassify the documents and let the American people be the judge, Get on with the vote to confirm Judge Kavanaugh.	1	3043
3273	@RobertHeishman @seungminkim Timing: if my abuser was up for the Supreme Court and was going to make legislation on my body, a body he’s already violated, that would be when I’d come out too.  Witnesses: K’s story has changed 4x. Judge won’t implicate himself. Others @ party said they believe her.	0	3273
1085	@RockyShorz @AltNatSecAgency Seriously, Rocky, don't be a dumbass.  Kavanaugh was drunk off his ass when he assaulted Ford in Maryland.  He wasn't in Europe when he was attending Georgetown Prep.  Now stop being a tool and support an FBI investigation if you want irrefutable proof that Ford is wrong.	0	1085
841	@SarahPalinUSA Ok, so all the democrats believe the woman and he is an attempted rapist.   If you believe this about Kavanaugh, then it's not logically possible to think differently of Ellison.   The democrats need to require he resign.	1	841
3123	@SarahPalinUSA SEAT KAVANAUGH	1	3123
821	@SarahPalinUSA Stop trying to draw a line of comparison between this incident and Kavanaugh’s with your tired “what about” response; you’re disrespecting all parties involved	0	821
2069	@SenFeinstein @SenSchumer @NancyPelosi @RepAdamSchiff  The following; @EdWhelanEPPC @ChuckGrassley &amp; #Kavanaugh need to be investigated in Jan., 2019.  This \rat\ nominated by a treasonous criminal &amp; Putin soldier, must be investigated. He's really \dirty\ &amp; it's all coming out	0	2069
2527	@SenFeinstein The same goes for Judge Kavanaugh whose family and children experience the same death threats.  The country could have avoided this entire sham had you been honest.	1	2527
212	@SenateGOP Withdraw Kavanaugh, you are just dragging yourselves, this country and https://t.co/bBWMGXfE1t thru the mud.  We see thru all your bullying. We will impeach Kavanaugh if we have to, we will vote you out of office, we will bring down the trump admin.	0	212
3582	@SenatorBurr @NatlParkService Senator Burr, are you ok with McConnell \plowing through \ Kavanaugh allegations? Pretty open minded huh ? You are a good man speak out!	0	3582
3089	@SenatorCollins 6) the people closest to Kavanaugh have cycled through 5 separate defenses in 7 days, even though he has stated he knows nothing about the allegations  7) not a single fact undermining Dr. Blasey’s credibility has surfaced 8) Kavanaugh’s support among men has only gone up 😞	0	3089
2479	@SenatorCollins SENATOR, WE DON'T SEE ANY BENDING OVER BACKWARDS FOR DR. FORD AS CLAIMED. NO INVESTIGATION ALLOWED, NO WITNESSES ALLOWED, NO LIE DETECTOR FOR MR. KAVANAUGH..IT IS A SHAM AND WE SEE IT...WHAT A DISGRACE!	0	2479
452	@SenatorCollins and @LisaMurkowski Are In Deep Trouble If They Vote For Kavanaugh https://t.co/2iuZfh2P8J via @politicususa	0	452
3257	@SonofLiberty357 @BreitbartNews This has to be the last delay. Grassley has done more than enough accommodating. Kavanaugh hasn't been demanding after all he's been through.	1	3257
3207	@StupidMinnesota @jd4020mn @Jason2CD You seem slow, I'll try to use small words. FBI already looked into Kavanaugh, as part of the process to vet him for the court. New information has arisen, which they could look into as part of the standard background check for Kavanaugh if so requested.	0	3207
975	@TexasCharlie3 No of course they are not getting threats- we heard the threats and saw the threats against the Kavanaugh family- Feinstein has not shown anything except mendacity, child abuse, cruelty, corruption and a total disregard for the law!	1	975
724	@TheRealHublife There is a lot of that flying around Twitter right now, yep. I guess I'll join. A man once grabbed me in the danger zone at a nightclub in Hollywood. I punched him in the face. His glasses fell off. I don't blame Judge Kavanaugh. He wasn't even there.	1	724
1234	@Thomas1774Paine @ChuckGrassley @SenateMajLdr @GOP  Judge Kavanaugh does not deserve the treatment he's receiving from the dems OR the GOP (Grassley).  @realDonaldTrump	1	1234
644	@Thomas1774Paine Well that is rich from Feinstein.  Lest we forget Ford went to the media herself under her own volition with the intent to leak the story in order to derail Kavanaugh.  What they didn't count on was that the FBI would not step in and frame K with false evidence.	1	644
1066	@TioSantiagoG @EdWhelanEPPC @WhiteHouse @realDonaldTrump @SenateGOP @ChuckGrassley @GrassleyPress @senorrinhatch Kavanaugh either confessed or the Federalist Society found out about the sexual assault If the society had been honorable and cared about the integrity of the Supreme Court they would have disqualified him But the “good old boys club” plotted to deceive the American people	0	1066
3350	@_cynthiaauthor @KimStrassel Romney would absolutely support Kavanaugh. He would’ve nominated him if he was President. Both Collins and Murkowski call themselves Rep but vote more Dem and have been that way forever	1	3350
2466	@avec_empathie @AriFleischer The witness won’t testify, he says it didn’t happen but won’t swear to it. He wrote a book @ the drunken party high school days where him &amp; his friends believed “no means yes &amp; yes means anal”. Kavanaugh has been working every day to come up with a defense, why if he is innocent.	0	2466
2892	@chuckgrassly Call the vote Monday!  Renege the extension and get Kavanaugh confirmed! https://t.co/7x0G2nZC5Q	1	2892
1586	@chuckwoolery @gatewaypundit I see it now.  This Date in History: Republican Sen. Charles Grassley caves to obstructionist left wing Sen. Charles Schumer.  Allegations against Judge Kavanaugh prove to be a hoax.  Democrats control Senate for 20 years until fall of socialism in 2040.	1	1586
1523	@costareports @snw106 Oh he understands alright. I’m amazed Kavanaugh hasn’t just stepped down bc this is going to get UGLIER FOR HIM &amp; his wife  &amp; kids. How do you look at him and NOT WONDER? How do you trust him when he’s lied so much?  YOU DON’T!🤬	0	1523
1964	@dbongino @KamVTV Dems could be stalling until they find another woman willing to perjure herself for money and claim Kavanaugh assaulted her too.	1	1964
1585	@dbongino Yes it's time to move on and stop giving into this woman and I am using the term loosely in this case. You can't believe her if she won't testify and Kavanaugh should not go 1st. He needs to be able to defend  himself. What a crock??????	1	1585
227	@elegantcoretta @AriFleischer @EdWhelanEPPC @SenateMajLdr Yeah, let's talk about \political calculations\. Let's start with Dianne Feinstein getting a letter from someone accusing the Supreme Court nominee of a crime 35 years ago that she sat on through the entire confirmation hearings, including when she met with him privately.	1	227
2319	@elidet @ChuckGrassley No, what you want is another Liberal that doesn't give a damn about the Constitution...You're not getting it. Trump will end up choosing two more Supreme Court Justices. Setting your wet dream of Socialism back decades.😁😁	1	2319
1539	@elizacollins1 Gee, I wonder if all of these women are trumpaloons? Like male trumpaloons, they are fine with Kavanaugh's lies under oath, mysterious purchases of \baseball tickets\ for $200k, hostility to women, belief that POTUS is above the law &amp; now, credible allegations of attempted rape.	0	1539
603	@essenviews @GovLarryHogan what are you afraid you will uncover if you start investigating Kavanaugh???? Are you part of the cover up? Shame!!!!	0	603
3292	@ezzie67_linda @BobMorr36537130 @DogginTrump She sided with Kavanaugh the other day. So there’s that...	0	3292
504	@farronbalanced Her testimony will not prevent him from being on the Supreme Court and she will not a get the FBI investigation she asked for. It's really unfair they keep bullying her	0	504
2470	@girlsreallyrule @SenatorCollins @lisamurkowski @JeffFlake @BenSasse @senatorcollins and @lisamurkowski you asked Franken to step down without ANY investigation even though it was revealed the pictures were a joke and she was part of it, but you are willing to vote for Kavanaugh with no investigation? This just shows how partisan the two of you R	0	2470
3108	@havingatwitfit @thehill Ummm Kavanaugh has already went through numerous background investigations. Kavanaugh has agreed to testify under oath at risk of perjury. Kavanaugh wants to clear his name. Why won’t Ford?	1	3108
565	@johniadarola Yeah they only care about confirming their little c*** cock boy to the Supreme Court so that way you can overturn a women's rights and tell them to go suffer and die I'd like to see the day when his two grown girls get pregnant by some rapist or whatever and then he has to deal	0	565
3003	@julieks118 @DougJones @JohnJHarwood Good thing Supreme Court seats aren’t up for popular votes.	1	3003
2028	@julieroginsky With all due respect to your personal situation, the Kavanaugh situation has more to do with the Dems trying to permanently derail the confirmation process with delays. https://t.co/062lyYid7V	1	2028
1572	@kenvogel @JamesJNani @georgesoros @MajorityPAC @DougJones @RepMcSally @RealSheriffJoe @kelliwardaz Let me help you out. GOP has far more billionaire donors who want to keep their dirty work secret than the Dems do. So they fight tooth and nail for secrecy,  as in the recent CREW case against Crossroads GPS and the FEC, in which Supreme Court recently denied a stay of order	0	1572
426	@kswesq @Myhiddenmadness @GOP_Slogans @ForceOfGaia @EdWhelanEPPC @ABAesq @BreitbartNews What is the evidence? None whatsoever.  Democrats are absolutely desperate for Kavanaugh not to be confirmed they will try and say anything. Pathetic &amp; an embarrassment to America.	1	426
3573	@labbott01 @PattyArquette @realDonaldTrump The suspicion is the political timing of her memory. Any honest and fair person would acknowledge this fact. Especially in view of the fact she has been a never Trumper. Too convenient and timed to prevent Justice Kavanaugh from taking his rightful seat.	1	3573
1287	@lauriemacph @FoxNews @davidcicilline @ChuckGrassley @realDonaldTrump Frightening to see how a claim of assault can destroy someone.  Witch hunt mentality.  Trying to stop a conservative judge joining the Supreme court because of political reasons.	1	1287
2222	@lisamurkowski Vote NO on Kavanaugh. He is not the will of the American People.	0	2222
3092	@lisamurkowski support the nomination of Kavanaugh hes a true follower &amp; up hold Constitution	1	3092
1009	@lseltzer @KSTruthTeller @Karhods54 @jallisonbowman @chrislhayes You can't compare the two. Garland never went through the confirmation process so there was no reason to find him \a bad person or unqualified\ or otherwise find him wrong for the job. Kavanaugh is actually going through the process.	0	1009
455	@marklevinshow @WilliamQuake1 Please explain why @JMfreespeech statesSenate interview of Ford isnt legal court of law, yet the ‘perjury under penalty of law’ standard has been applied. Judith also states Kavanaugh can not demand to face his accuser and he is not allowed presumed innocent. Why? 2 tier justice?	1	455
810	@michaelsharon16 @ConservaMomUSA @WiseKty “You have indicated that Dr. Ford has allegations that she would like to make in public and under oath. She will have the opportunity to do so before we give Judge Kavanaugh the opportunity to respond.”	1	810
1121	@michalevaldez3 @BrettKavanaugh If you're concerned about the Central Park Five being wrongly convicted maybe you should stand for Kavanaugh having opportunity to hear his accuser &amp; defend himself before you declare him guilty. Trump is an abuser of women but that has nothing to do with Brent Kavanaugh.	1	1121
112	@neeratanden And we are supposed to believe that the Supreme Court will be a \check\ on the power of the Executive Branch as intended?  It appears that they now work hand in hand.	0	112
1952	@paulsperry_ @CarolinFlorida They have to treat her the ACCUSER  with kiddy GLOVES or the left will say, look how shes being treated... well what about KAVANAUGH??	1	1952
29	@paulsperry_ @RubyRockstar333 When nothing is proved by this Ford nut case Judge Kavanaugh needs to file a law suit for defamation of character. For the lies and pain caused to him and his family. These bottom feeders ( Democrats.) need to be taught a lesson and Feinstein should be removed from her seat!!!	1	29
2506	@paulsperry_ @julie_kelly2 Does Dr Ford realizes she is being used by the Dems ?She hates Trump , for sure, as we know by her activity, but was all this worth it if she &amp; her family are indeed being threatened as well as Kavanaugh &amp; his family . Maybe she should have went to the police-not Feinstein	1	2506
3347	@paulsperry_ Yawn.  Kavanaugh gets confirmed. Elections matter.	1	3347
132	@perfectsliders It’s Ovarian Cancer Awareness Month and they’re priority is resisting #Kavanaugh. They don’t deserve a penny. Ignoring care to lobby... a national disgrace.	1	132
1824	@quailcrown @ViYeh @Errilyn61 @ianshapira @jonfavs However, Ford's husband claims that Kavanaugh's name was brought up (he didn't provide context) so unless you think he's lying, please explain why the therapist didn't include Kavanaugh’s name?	1	1824
119	@realDonaldTrump You need to accept the fact that we will NEVER allow YOU of all people to appoint a Supreme Court Judge. You can't even tie your shoes without inhaling a Big Mac. You can't even keep your own country safe during hurricanes.	0	119
1097	@robjh1 @Tia6sc I would wager  Kavanaugh’s wife has suffered more from this the last couple weeks then Mrs. Ford has for 35 years⁉️Hearing this “TRASH” thrown at the man you love and respect “HURTS” &amp; cuts deeply when you know it’s “FALSE”⁉️	1	1097
2522	@senorrinhatch @vjeannek Also investigate and prosecute those who have threatened #Kavanaugh family- i think this is also a reasonable request	1	2522
3125	@senorrinhatch Then tell them the hearing date &amp; time.  If she doesn't appear; it's a default &amp; move to vote on Kavanaugh	1	3125
1016	@tedlieu @paulsaksphd And, no integrity Kavanaugh is hiding behind McConnell.	0	1016
2678	@thehill No. The only women going cuckoo over Kavanaugh are the ones who dress up as giant vaginae and protest march. Normal thinking women see this Ford accusation and the way its been handled by Democrats &amp; her as a political stunt that hurts the MeToo movement.	1	2678
976	@thehill Not news. No reason to remember being at a generic pool party if it was one of many, and you weren’t either sexually assaulted (Ford) or sexually assaulting someone (Kavanaugh). Ford never told anyone about the incident until a few years ago.	0	976
786	@thehill Republican women defending Kavanaugh make it sound like all Republican boys attempt rape in high school.	0	786
513	@tribelaw @JeffFlake Why all 51 of GOP senators likely vote to confirm Kavanaugh? If they vote no, they will be vilified &amp; treated by the base as Dr. Ford has been treated- abused on social media, receive death threats, etc especially those retiring &amp; no longer in power. They are afraid	0	513
2373	@tribelaw Judge Kavanaugh’s already been judged guilty by the Democrats. Kavanaugh and his lawyer have the right to face his accuser. Did you know that you can look up the Constitution on line? Do you believe Juanita Broaddrick? Is she not white enough for you? https://t.co/2aALiCtoGv	1	2373
2263	Aide for GOP involved in Kavanaugh nomination resigns after past sexual harassment allegation surfaces https://t.co/2WVCsYPcUa	0	2263
