text_id,text,speaker,party,date,agenda,cap_topic
1407476,I know that a lot of Members want to speak.,Greg Clark,Con,17/05/2011,Localism Bill,99
1494423,Members' support for that project today.,Norman Baker,LibDem,29/06/2011,Local Rail Services (Bristol),10
1592551,I hope that there might be agreement across the House on my next point.,Michael Fallon,Con,12/10/2011,Jobs and Growth,5
1600838,We are grateful to the hon.,CHAIR,,17/10/2011,GCSE Mathematics [Oral Answers to Questions > Oral Answers to Questions > Education > Education],99
1744209,I congratulate the hon.,Jason McCartney,Con,13/12/2011,Empty Homes (Hyndburn),99
1768406,Perhaps the hon.,Tom Harris,Lab,11/01/2012,Rail Fares,99
1825035,Member for Newcastle upon Tyne East (Mr Brown).,Danny Alexander,LibDem,02/02/2012,Tax Avoidance (Public Servants),99
1838699,Members waiting to speak; they must take the matter up with others.,CHAIR,,08/02/2012,Police,12
1881360,No-that's why she's happy.,Ian Paisley,DUP,01/03/2012,Northern Ireland Economy,99
1947653,Members how far we have gone since we started the Bill-far beyond where the Opposition were first urging us to go-and we will go further in response to the debate in the House of Lords.,Kenneth Clarke,Con,17/04/2012,"Legal Aid, Sentencing and Punishment of Offenders Bill",12
2228365,Or so one would think.,Sadiq Khan,Lab,07/11/2012,Criminal Injuries Compensation Scheme,99
2260582,As hon.,Anne Marie Morris,Con,22/11/2012,Life-saving Skills in Schools,99
2279136,That is very weak.,Philip Davies,Con,30/11/2012,Prisons (Property) Bill,99
2300418,I sincerely congratulate my hon.,Norman Lamb,LibDem,10/12/2012,Schizophrenia Care,99
2332109,”.,Yvette Cooper,Lab,07/01/2013,Topical Questions [Oral Answers to Questions > Home Department],99
2405180,"That may have been characterised in all sorts of different ways, of course, but I am happy to discuss the matter with my hon.",Stephen Hammond,Con,31/01/2013,Vehicle Registration Marks,10
2442908,It was.,CHAIR,,14/02/2013,Violence against Women and Girls [Oral Answers to Questions > Women and Equalities],99
2477110,"Friend the Member for Knowsley (Mr Howarth), my hon.",Alison McGovern,Lab,06/03/2013,Home Care Workers,13
2547673,Some Members have chosen to talk about billions of pounds.,Alex Cunningham,Lab,18/04/2013,Finance (No. 2) Bill,1
2563285,Member for Harlow (Robert Halfon).,CHAIR,,25/04/2013,Devolution [Oral Answers to Questions > Leader of the House],21
2589323,"Members, seek the support of the House.",David Burrowes,Con,20/05/2013,Marriage (Same Sex Couples) Bill,2
2600276,Members there are signs of enthusiasm for my amendment.,Tim Yeo,Con,04/06/2013,Energy Bill,8
2606923,Member for Colchester (Sir Bob Russell) was risible.,Steve Pound,Lab,05/06/2013,Accident and Emergency Waiting Times,3
2610548,You haven't read it.,Paul Flynn,Lab,06/06/2013,Public Administration Committee Report (Charity Commission),99
2630520,Gentleman has raised this issue with me in the House before.,Mark Francois,Con,17/06/2013,Topical Questions [Oral Answers to Questions > Defence],16
2648230,Will she assure the House that she will look personally at every undercover operation and check that nothing so dreadful is going on today?,Peter Hain,Lab,24/06/2013,Undercover Policing,12
2681557,I thank the hon.,Charlie Elphicke,Con,04/07/2013,Corporate Structures and Financial Crime,12
2689085,I meant 2014.,Andrew Lansley,Con,09/07/2013,Business of the House,99
2702418,"Friend the Member for Stirling (Mrs McGuire) reminded me of Gavin Cleland, whose son tragically died in the incident.",Frank Doran,Lab,11/07/2013,Piper Alpha Disaster,12
2833386,"The question, surely, for Labour Members, not least those on the Front Bench, is this: if they do not like our way of doing those things, which they agree are worth while, what is their way?",Jeremy Wright,Con,30/10/2013,Probation Service,12
3184430,"Indeed, the hon.",Norman Baker,LibDem,10/04/2014,Domestic Violence (Police Response),12
3191183,"Members on both sides of the House, and I am only one of many voices who have been calling for progress.",Robin Walker,Con,29/04/2014,Schools Funding,6
3360204,"No, my hon.",Roger Williams,LibDem,08/09/2014,Food Fraud,4
3380809,"No journalist is embedded in IS, which would be a suicidal thing to do.",Edward Leigh,Con,26/09/2014,Iraq: Coalition Against ISIL,19
3442901,"I, too, congratulate the hon.",Barry Sheerman,Lab,04/11/2014,Dangerous Driving Offences (Sentencing),12
3457769,"Member for Tooting (Sadiq Khan) was absolutely right to point out that many of those may well not have been convicted of any crime, but have been simply awaiting trial.",Chris Grayling,Con,11/11/2014,Prison Communications,12
80,Members across London.,Dan Rogerson,LibDem,12/01/2009,Business Rate Supplements Bill,99
7936,This Bill has wide support in Wales and I am grateful today for the support of Welsh Members on both sides of the House and Members from across the border-,Hywel Williams,PlaidCymru,01/04/2009,Registration of Births and Deaths (Welsh Language),21
7978,"Again, I echo the comments of other hon.",Greg Mulholland,LibDem,01/04/2009,National Dementia Strategy,3
8430,"The Member for Ribble Valley (Mr. Evans) talked about the cost of walk-on fares from London to Manchester, Newcastle or wherever.",Gordon Prentice,Lab,21/04/2009,Transport (North-West),10
8942,I echo the tributes that other hon.,Stephen O'Brien,Con,24/04/2009,Palliative Care Bill,3
9070,May I echo the request from my hon.,Tobias Ellwood,Con,28/04/2009,Points of Order,99
10483,"May I first, in this era of heightened precaution, declare my entry in the Register of Members' Interests and my interest as a vice-chairman of the all-party parliamentary group on autism, a subject which features large in the debate?",Tim Loughton,Con,15/05/2009,Special Educational Needs and Disability (Support) Bill,6
12012,We will miss his common sense and dedication to Wales.,Cheryl Gillan,Con,10/06/2009,Low Carbon Industries [Oral Answers to Questions > Wales],7
12597,"The Europe Minister, too, is to sit in the House of Lords, and will be beyond the scrutiny of most elected representatives.",William Hague,Con,16/06/2009,European Affairs,19
12835,"The Labour party, unfortunately-or fortunately-has been completely routed in the south-west, and has no Member of the European Parliament there.",Robert Walter,Con,16/06/2009,European Affairs,19
14770,Members mentioned what happened in Germany this week.,Chris Bryant,Lab,02/07/2009,European Commission Annual Policy Strategy,19
15574,Members would presumably think it was the case for the Republic of Ireland.,Phil Woolas,Lab,14/07/2009,"Borders, Citizenship and Immigration Bill [Lords]",19
16310,"There has been a great deal of comment, in the House of Lords and elsewhere, about a case in 2003 known as A. v. the United Kingdom.",Bill Cash,Con,21/07/2009,Parliamentary Standards Bill,20
16935,Member for South Holland and The Deepings (Mr. Hayes) referred to the background of my right hon.,Kevin Brennan,Lab,14/10/2009,"Higher Education [Written Answers to Questions > Business, Innovation and Skills]",6
21718,"Member for Hornsey and Wood Green (Lynne Featherstone) expressed concern that the NHS across London faces cuts, as she put it.",Mike O'Brien,Lab,02/12/2009,Whittington Hospital,3
21739,Member for Meirionnydd Nant Conwy (Mr. Llwyd) was one of three Back-Bench Members from Wales who contributed to the debate.,Kevin Brennan,Lab,02/12/2009,Citizens Advice Bureaux,21
23140,May I just point out that I am not the Member for Scotland?,Jim Sheridan,Lab,14/12/2009,Regional Select Committee (London),21
25640,"I also echo the tributes to the all-party group, of which I am a member, and especially to the leadership of the hon.",Greg Mulholland,LibDem,27/01/2010,Dementia Services,3
31049,I have been in too many houses like that in the north of Ireland not to know how deep the cuts are.,Ian Paisley,DUP,24/03/2010,Engagements [Oral Answers to Questions > Oral Answers to Questions > Prime Minister > Prime Minister],21
31105,Member for Middlesbrough would take us in the direction that Greece followed.,John Redwood,Con,24/03/2010,Budget Resolutions and Economic Situation,1
32602,"He has had a distinguished career as an economist, as a Member of the European Parliament and as an eloquent Member of this House since his election in 2005.",Ed Miliband,Lab,27/05/2010,"Energy and Environment, Food and Rural Affairs",19
32689,Members here have asked me what the notable differences are between being a Member of the European Parliament and being an MP.,Chris Heaton-Harris,Con,27/05/2010,"Energy and Environment, Food and Rural Affairs",19
33447,"I shall unashamedly concentrate my observations on economic matters, in my capacity as the Member for the City of London, and on constitutional reform, which I broadly welcome as a long-time and robust supporter of House of Lords elections.",Mark Field,Con,07/06/2010,Constitution and Home Affairs,1
34744,"As this House is aware, however, with the situation in Greece and the need for a support package from the other eurozone members, there is no doubt that the eurozone as a whole faces real challenges.",David Cameron,Con,21/06/2010,European Council,19
35359,To echo the comments of most of the hon.,Tim Farron,LibDem,23/06/2010,Cumbrian Shootings,12
41158,One subject that I want to mention is precisely what the job of a Member of Parliament is in the modern era.,Chris Bryant,Lab,20/10/2010,Parliamentary Voting System and Constituencies Bill,20
42041,I am grateful to the Leader of the House for advance notice of Monday's ministerial statement on the European Council.,Duncan Hames,LibDem,28/10/2010,Business of the House,19
44894,"Friend the Member for Blackburn (Mr Straw)-a colleague from this side of the House, in this place-which was an attempt not only to influence the talks in New York, but to set in motion a political dialogue in Europe that would call for partition.",Alan Meale,Lab,16/11/2010,Cyprus,19
47635,"As a member of the European Parliament, I was there at the start of the EPP debate in Brussels, and it evolved a little like this.",Chris Heaton-Harris,Con,07/12/2010,European Union Bill,19
48234,Opposition Members have been heckling me about Wales.,Guto Bebb,Con,09/12/2010,Higher Education Fees,6
49929,"There might be no doubt in our minds that Parliament is sovereign and that the functions and powers to which he has just referred are simply delegated to the European Union by this sovereign House, but because such misunderstandings exist, it is time for the House to make a clear declaration that sovereignty and ultimate legal authority still rest with the House of Commons.",Bernard Jenkin,Con,11/01/2011,European Union Bill,19
50586,May I echo the call of the shadow Leader of the House for a debate on bank bonuses?,Charlie Elphicke,Con,13/01/2011,Business of the House,15
52051,"Friend is right about the House of Lords: whether we go further into or come out of Europe is a matter that should start in the House of Commons, because this is the House of the people.",Charlie Elphicke,Con,24/01/2011,European Union Bill,19
53448,"Friend the Member for Glasgow East has observed, those of us who were fortunate enough to be part of that day will forever feel that we were part of the history of Scotland.",Cathy Jamieson,Lab,27/01/2011,Scotland Bill,20
54834,"I am a member of the all-party parliamentary group on Ukraine, which is next to Russia.",Simon Hughes,LibDem,07/02/2011,Registration of Members' Financial Interests,20
55369,"Friend the Member for Christchurch (Mr Chope) is one of the members of that sub-committee who successfully rejected a slate of three candidates put forward by Portugal four months ago, and Portugal had to go back to find some candidates who were acceptable to us.",Robert Walter,Con,10/02/2011,Voting by Prisoners,19
55982,I echo what all hon.,Sheryll Murray,Con,15/02/2011,Fuel Prices,8
56385,I echo the comments of my hon.,Martin Horwood,LibDem,17/02/2011,Rail Investment,10
57095,I echo my hon.,Andrew Slaughter,Lab,04/03/2011,Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Bill,1
64209,"Member for South Holland and The Deepings (Mr Hayes), but I know that the hon.",CHAIR,,13/05/2011,Regulatory Authorities (Level of Charges) Bill,20
70110,"Some Members will remember when, back in 2006, the Daily Star tried to produce a racist front page, but the workers, backed by their union and Members on both sides of the House, refused to publish it because of the damage it would do to community relations.",John Martin McDonnell,Lab,20/07/2011,Public Confidence in the Media and Police,17
74918,"As the House knows, EU accession to the COE was one element of the treaty of Lisbon, which was ratified by all 27 member states in 2009.",David Lidington,Con,27/10/2011,Council of Europe (UK Chairmanship),19
89966,"Member for Cities of London and Westminster (Mark Field) in the Chamber, and many of us have a constituency interest-big and small-in where the sites should be.",Simon Hughes,LibDem,14/03/2012,Water Industry (Financial Assistance) Bill,21
90237,"Members from both sides of the House agree that Europe must get to grips with the problem, because throwing perfectly good fish back into the sea is utterly unacceptable.",Fiona O'Donnell,Lab,15/03/2012,Common Fisheries Policy,4
90323,"It may be frail, its roof may shake; the wind may blow through it; the storm may enter, the rain may enter-but the King of England cannot enter”.",Jacob Rees-Mogg,Con,19/03/2012,Protection of Freedoms Bill,2
93420,Let us consider what is going on in the rest of Europe.,Bill Cash,Con,14/05/2012,Business and the Economy,1
97024,Friend the Member for Cities of London and Westminster (Mark Field) was cursorily rejected by the hon.,Stewart Jackson,Con,02/07/2012,Finance Bill,1
97087,Friend is a distinguished Member of this House and a former Secretary of State for Wales.,Susan Elan Jones,Lab,03/07/2012,Elections (National Assembly for Wales),21
97794,To echo the comments of the hon.,Emma Reynolds,Lab,04/07/2012,UK-Turkey Relations,19
98372,I do not think that the current House of Lords accurately reflects the diversity of the United Kingdom.,Anne McGuire,Lab,09/07/2012,House of Lords Reform Bill,20
98425,"On the issue of the interesting demographic profile of the House of Lords, it is not just one of age; it is also very striking that close to half the people in the House of Lords come from London and the south-east.",David Cameron,Con,10/07/2012,Topical Questions [Oral Answers to Questions > Deputy Prime Minister],20
98818,Many Members told the Procedure Committee they feel that earlier sittings would compromise the ability of Members from constituencies distant from London to make the journey to Westminster on Mondays-the point well made by the hon.,Greg Knight,Con,11/07/2012,Sittings of the House,20
100972,"It is time that the House of Commons understood what the European Union is doing to the lives of those people, because we are complicit in that crime in allowing it to go on.",Stewart Jackson,Con,10/09/2012,European Union (Approval of Treaty Amendment Decision) Bill [Lords],19
102478,I echo what was said by my hon.,Matt Hancock,Con,16/10/2012,Enterprise and Regulatory Reform Bill,99
103214,"Friend the Member for City of Chester (Stephen Mosley), who talked about the appalling failing of West Midlands police and the agony that the family of Kevin Williams went through.",Jeremy Hunt,Con,22/10/2012,Hillsborough,12
104121,"In Yorkshire and Humberside, that figure is 6.2%, or 326,000.",George Mudie,Lab,30/10/2012,Leeds Children's Heart Surgery Unit,3
105143,Membership of Schengen requires Croatia and any other member of Schengen to go further.,David Lidington,Con,06/11/2012,European Union (Croatian Accession and Irish Protocol) Bill,19
106477,"Referring to a report by Birmingham MEP Philip Bradbourn, the noble Lord said:“It was drawn up in April this year and, I believe, was passed by the European Parliament in May.",Jim Shannon,DUP,20/11/2012,Civil Aviation Bill,10
107253,"As has been mentioned, we recently discussed the accession of Croatia to the EU in the House.",Gordon Banks,Lab,21/11/2012,UK Constituent Parts (EU),19
109698,"He said that his members had more in common with the London dockers, the Durham miners and the Sheffield engineers than they had ever had with the “barons and landlord traitors”, as he called them, of Scotland.",Gemma Doyle,Lab,05/12/2012,Unemployment in Scotland,1
114649,The Leader of the House has announced a debate next week on Europe.,Angela Eagle,Lab,24/01/2013,Business of the House,20
114668,May I echo the call from my hon.,Christopher Pincher,Con,24/01/2013,Business of the House,20
115199,"Members will see this, too-we get correspondence from Sinn Fein Members saying that they will arrive here on sporadic visits to inform people and Members about the situation in Northern Ireland.",Gregory Campbell,DUP,29/01/2013,Political Party Funding,20
118701,"Friend the Member for Thurrock (Jackie Doyle-Price) for sharing her experiences in Kosovo, and the hon.",Nicola Blackwood,Con,14/02/2013,Sexual Violence in Conflict,12
118894,"Friend the Member for Cities of London and Westminster, with all the resources of the City of London behind him, at the behest of the Department got leading counsel's opinion on the matter.",Christopher Chope,Con,26/02/2013,City of London (Various Powers) Bill [Lords],99
118917,Member for Cities of London and Westminster (Mark Field) for missing his speech.,Jim Fitzpatrick,Lab,26/02/2013,City of London (Various Powers) Bill [Lords],99
119374,Members across the House need no reminding of the respected and thriving Sikh community in the United Kingdom that has such a long and proud history.,Hugo Swire,Con,28/02/2013,Death Penalty (India),19
123003,Friend the Member for Cities of London and Westminster (Mark Field).,Nigel Mills,Con,17/04/2013,Finance (No. 2) Bill,99
127533,"We are not a full-blown member of Frontex, but its executive director has said“we do not see any difference between our UK colleagues and the others”.",Dominic Raab,Con,12/06/2013,"EU Police, Justice and Home Affairs",12
132093,"Member for Waveney, highlighted the fact that this is not just about Scotland; it is a broader tragedy.",Michael Moore,LibDem,11/07/2013,Piper Alpha Disaster,15
135172,I echo hon.,Daniel Kawczynski,Con,12/09/2013,UK Trade & Investment,18
152179,I think that doing that may be one of the longer-term consequences of what Russia has done in Crimea.,William Hague,Con,04/03/2014,Ukraine [Oral Answers to Questions > Foreign and Commonwealth Office],19
152421,"Like my Friend the Member for Holborn and St Pancras, who has the neighbouring constituency, I represent inner London where the housing crisis is acute beyond belief.",Jeremy Corbyn,Lab,04/03/2014,Private Rented Sector,14
152792,"Friend the Member for South Holland and The Deepings (Mr Hayes), who oversaw the start of this expansion.",Matt Hancock,Con,05/03/2014,Vocational Qualifications,5
153123,"None of the Plaid Cymru Members came, but it was attended by apprentices and graduates from Wales, who have jobs on the Wylfa site.",Albert Owen,Lab,06/03/2014,Welsh Affairs,21
155813,"That is in sharp contrast to the rest of Europe, where unemployment averages 10.9%.",Margot James,Con,25/03/2014,amendment of the law,1
156280,I echo the accolades that my hon.,Tim Loughton,Con,26/03/2014,Stillbirths and Infant Mortality,3
160833,"According to the House of Commons Library, 200,000 UK jobs depend on trade with the Republic of Ireland-double that of Canada and Norway.",Angus MacNeil,SNP,07/05/2014,Cross-border Trade and Employment [Oral Answers to Questions > Scotland],18
160868,I echo the words of my hon.,Andrew Percy,Con,07/05/2014,Water Bill,21
161424,"Before turning to the Foreign Secretary's remarks on Ukraine, may I first briefly address the recent horrific events in Nigeria?",John Spellar,Lab,13/05/2014,Ukraine,19
163179,To echo the comments of my hon.,Jim Sheridan,Lab,12/06/2014,The Economy and Living Standards,1
163447,Opposition Members might be yawning; people are not yawning in Wales because they are stuck on waiting lists desperate for treatment.,David Cameron,Con,18/06/2014,Engagements [Oral Answers to Questions > Prime Minister],21
164407,A recent House of Commons Library note shows a long-term steep decline in house building in England in the past 35 years.,Caroline Lucas,GPEW,25/06/2014,Private Rented Sector,14
164733,"However, I think there are many in Europe who understand that we need a totally different approach for the eurozone members than for the non-eurozone members.",David Cameron,Con,30/06/2014,European Council,19
165627,I am sure that the whole House will echo my hon.,Damian Green,Con,07/07/2014,Neighbourhood Policing [Oral Answers to Questions > Home Department],12
165763,The House will lead the way in Europe.,Pauline Latham,Con,08/07/2014,Modern Slavery Bill,19
166417,"Gentleman be good enough to explain to me and the House why we have an arrangement with the European Union on this basis and not one to deal with other murderers, traffickers and the rest of it in the rest of the world?",Bill Cash,Con,10/07/2014,The UK's Justice and Home Affairs  Opt-outs,12
167918,"Members may be aware that in June, HMRC advertised up to 2,100 vacancies primarily in compliance roles-up to 680 of which will be based at offices in Scotland.",David Gauke,Con,22/07/2014,HMRC (Scotland),21
172091,"Member for Cleethorpes (Martin Vickers), who has had a tradition of opposition to the European Union going back many years, as have many Conservative Members.",Barry Gardiner,Lab,17/10/2014,European Union (Referendum) Bill,19
173201,I echo what my hon.,Nick De Bois,Con,23/10/2014,Oral Hormone Pregnancy Tests,3
174039,Gentleman cannot ask the rest of us to have no discussion about the affairs of the rest of the United Kingdom.,William Hague,Con,30/10/2014,Business of the House,20
174975,I echo the hon.,Ed Vaizey,Con,07/11/2014,Football Governance Bill,15
175102,"Members wrote to me, presumably independently of each other because I do not think that Members are in the habit of sharing their letters to the Speaker with each other, to indicate that they intended to speak in the debate on the European arrest warrant.",CHAIR,,10/11/2014,Points of Order,12
180503,Waiting lists have been coming down because the eligibility criteria for housing have been tightened.,Kate Green,Lab,17/12/2014,Housing Benefit (Abolition of Social Sector Size Criteria),13
147999,A number of them have been very thoughtful and interesting.,Doug Henderson,Lab,18/03/2009,The Economy,1
391800,Investment in community services remains a high priority for us.,Mike O'Brien,Lab,14/07/2009,Health Care (Shropshire),13
458801,What level of charges has been assumed?,James Brokenshire,Con,28/10/2009,Dartford River Crossing,10
579799,People on low incomes who depend on such benefits to make ends meet do not have time for endless pontification from the DWP.,John Barrett,LibDem,12/01/2010,Exportable Benefits,18
611756,"We are determined that the levels of investment in Cadbury UK are maintained and that, at a time when people are worried about their jobs, the utmost is done to secure those jobs.",Ian Lucas,Lab,26/01/2010,Cadbury,15
958806,It may sound absurd but it was and remains incredibly difficult to gain firm information on such bodies.,Francis Maude,Con,14/10/2010,Public Bodies Reform [Cabinet Office],20
1001495,"We are not asking for any favours for Cornwall, as I have said.",Andrew George,LibDem,01/11/2010,Parliamentary Voting System and Constituencies Bill,20
1587488,"As I understand it, the firm had behaved properly in simply carrying out the standard CRB check.",Diana Johnson,Lab,11/10/2011,Protection of Freedoms Bill,2
1797801,"Friend the Member for Kirkcaldy and Cowdenbeath (Mr Brown), got together with Barack Obama to ensure that we delivered a fiscal stimulus, and that there was not a depression.",Geraint Davies,Lab,23/01/2012,Youth Unemployment and Bank Bonuses,1
2140880,We seem to be in a no-growth situation.,Nia Griffith,Lab,11/09/2012,UK and Welsh Governments (Finance),1
2235741,That is not being taken away.,Norman Baker,LibDem,09/11/2012,Disabled Persons' Parking Badges Bill,10
2541820,How many weeks has the Labour party believed in this policy?,Stephen Williams,LibDem,17/04/2013,Finance (No. 2) Bill,1
2890035,That is why a plan is so important.,Nicholas Boles,Con,22/11/2013,Local Development Planning (Nuneaton),14
2927622,"First, Oprah Winfrey bid for it, then Elton John.",Gordon Brown,Lab,09/12/2013,Tributes to Nelson Mandela,20
3034887,It is a huge incentive.,Sammy Wilson,DUP,04/02/2014,Energy Company Charges,8
3199764,"Newham has a lower incidence of cancer than many other areas, but, sadly, our mortality rate is higher, owing mainly to late presentation.",Lyn Brown,Lab,01/05/2014,Cervical Cancer Screening,3
3395549,I share my hon.,Martin Vickers,Con,15/10/2014,Grimsby Seafood Manufacturers,4
3485263,Gentleman has put a motion before the House on the performance of the economy.,Ben Gummer,Con,26/11/2014,The Economy,1
53618,"We must address the democratic deficit, because we cannot bring change on the scale that we need to deliver the efficiency gain without engaging local communities.",Stephen Dorrell,Con,31/01/2011,Health and Social Care Bill,13
386812,"Does he agree that the Electoral Commission does not oppose the change, as is sometimes reported, but says simply that the House will need to consider the consequences carefully?",Nick Palmer,Lab,13/07/2009,Political Parties and Elections Bill,20
618689,Gentleman and his party whatever.,Huw Irranca-Davies,Lab,27/01/2010,Water and Sewerage (South-west),21
619085,"To make it clear, the law applies to religious organisations when they employ people in non-religious jobs in the same way that it does to everyone else.",Harriet Harman,Lab,28/01/2010,Equality Bill (Religious Groups) [Oral Answers to Questions > Women and Equality],2
841238,"There are eight official stages to the BSF process, but each one contains its own substrata of complexity.",Nick Gibb,Con,30/06/2010,Building Schools for the Future (Liverpool),6
998544,"Whilst Google considered it unlikely that it had collected anything other than fragments of content, we wanted to make our own judgment as to the likelihood that significant personal data had been retained and, if so, the extent of any intrusion.",Robert Halfon,Con,28/10/2010,The Internet and Privacy,17
1003798,"Of course we want to ensure that there is no opportunity for corruption in the use of postal ballots, but my experience is that many elderly and other people, particularly those who cannot predict the precise timing of their work commitments, value the current provisions on postal voting.",Chris Bryant,Lab,02/11/2010,Parliamentary Voting System and Constituencies Bill,2
1063797,Gentleman brings a lethal mix of incompetence and ideology to this crucial brief.,Andy Burnham,Lab,24/11/2010,Schools White Paper,6
1099435,"The two Front-Bench speakers will take up 15 minutes apiece, so there is scope for other speeches to be made.",CHAIR,,07/12/2010,Gypsy and Traveller Sites,2
1222335,"On pay transparency, again we have a damp squib.",Edward Balls,Lab,09/02/2011,Banking,15
1335223,Its purpose is to clarify the roles and responsibilities in law.,Nick Herbert,Con,30/03/2011,Police Reform and Social Responsibility Bill,12
1378452,"I pay tribute to them, because they have struggled and are on the front line.",Priti Patel,Con,04/05/2011,Small and Medium-sized Businesses (Witham),15
1597784,I absolutely concur with her view that most people have no idea what they are doing when they vote.,Zac Goldsmith,Con,13/10/2011,Procedure Committee Reports,2
1638562,"What is less clear is why this has not always been tackled and what needs to happen to effect change.”People have talked about a culture of indifference or, worse, of neglect, and ask what has happened to common compassion and kindness.",Nick Smith,Lab,27/10/2011,NHS Care of Older People,3
2033380,"In the short time available, I wish to address two subjects.",John Glen,Con,14/06/2012,Mental Health,3
2383235,"This dreadful provision should be revoked immediately, and people should come to their senses before it is too late.",Andy McDonald,Lab,23/01/2013,Housing Benefit Entitlement,13
2693317,I shall give examples of people who that arrangement might suit.,Jo Swinson,LibDem,09/07/2013,Zero-hours contracts,5
2806704,"Lady checks her facts, because I believe the decision not to fingerprint clandestines at the juxtaposed controls was actually taken before the 2010 general election.",Theresa May,Con,22/10/2013,Immigration Bill,2
2968173,There are eminent people in the Responsible Gambling Trust and I endorse what my hon.,Clive Efford,Lab,08/01/2014,Fixed Odds Betting Terminals,15
2980106,"She has mentioned the Opposition day debate, in which there was a vote and the House voted against her point of view.",Jeremy Wright,Con,14/01/2014,Offender Rehabilitation Bill [Lords],12
