text_id,text,party,cap_topic,cluster,membership_strength,display_x,display_y
1050109,"On happiness, my hon.",Con,99,0,1.0,6.2029285,-0.19600165
1055978,"Friend the Member for Torbay (Mr Sanders), which is headed “Impact of Spending Cuts on Seaside Resort Economies”.",LibDem,1,-1,0.0,8.3495245,-2.966402
1080538,As my hon.,Lab,99,0,1.0,6.198702,-0.19860114
1203673,I believe that we have a kind of common sense.,Lab,1,-1,0.0,9.263497,-0.33794287
1208744,"I think that Members on both sides of the House regret the decisions that are having to be taken, but it is incumbent on Ministers and Members on this side to come forward with solutions.",LibDem,12,-1,0.0,9.345915,-0.8530932
1217331,"Conservative Members cheer him, but will they still be cheering in a moment?",Lab,6,-1,0.0,8.64611,-1.5405154
1244416,"It may have been something I agreed with, but it meant that that issue festered for another decade.",Con,20,13,1.0,9.101507,-0.078657195
1294115,Friend the Member for Colne Valley (Jason McCartney) has donated blood himself.,Con,3,16,0.8782303288610559,8.328989,-3.2698822
1309196,It is not a blank cheque.,Lab,19,13,1.0,9.710467,-1.1585145
1341655,That may be the source of the hon.,Con,10,0,1.0,6.16543,-0.34133333
1367939,Members� questions.,Con,99,15,1.0,8.254396,-1.3192927
1407476,I know that a lot of Members want to speak.,Con,99,15,1.0,8.131824,-1.098417
1494423,Members' support for that project today.,LibDem,10,15,1.0,8.249027,-1.1914518
1592551,I hope that there might be agreement across the House on my next point.,Con,5,13,0.9702826708321818,9.26868,-0.8166897
1600838,We are grateful to the hon.,,99,0,0.7399176325217897,6.7386003,-0.37257797
1744209,I congratulate the hon.,Con,99,0,0.7399176325217897,6.673692,-0.35964248
1768406,Perhaps the hon.,Lab,99,0,1.0,6.078705,-0.37212637
1825035,Member for Newcastle upon Tyne East (Mr Brown).,LibDem,99,16,1.0,8.0245285,-3.4455404
1838699,Members waiting to speak; they must take the matter up with others.,,12,15,1.0,8.192806,-1.1413909
1881360,No-that's why she's happy.,DUP,99,3,1.0,7.61205,-2.214721
1947653,Members how far we have gone since we started the Bill-far beyond where the Opposition were first urging us to go-and we will go further in response to the debate in the House of Lords.,Con,12,13,0.9080526979883485,9.60049,-0.5977179
2228365,Or so one would think.,Lab,99,13,0.8812150767660106,8.44835,-0.10021435
2260582,As hon.,Con,99,0,0.5548602227635698,6.2013717,-0.25100815
2279136,That is very weak.,Con,99,13,0.9510481832647247,8.291158,-0.08272098
2300418,I sincerely congratulate my hon.,LibDem,99,0,0.7807867398579895,6.7026715,-0.37170532
2332109,”.,Lab,99,-1,0.0,7.4577985,-0.8744084
2405180,"That may have been characterised in all sorts of different ways, of course, but I am happy to discuss the matter with my hon.",Con,10,0,0.8082106812472735,6.5765224,-0.11563026
2442908,It was.,,99,13,1.0,7.907377,-0.139195
2477110,"Friend the Member for Knowsley (Mr Howarth), my hon.",Lab,13,16,1.0,7.883461,-3.4235487
2547673,Some Members have chosen to talk about billions of pounds.,Lab,1,19,1.0,12.453938,-2.363293
2563285,Member for Harlow (Robert Halfon).,,21,16,1.0,7.878316,-3.3517797
2589323,"Members, seek the support of the House.",Con,2,15,1.0,8.540453,-1.1425911
2600276,Members there are signs of enthusiasm for my amendment.,Con,8,15,0.8062674986814807,8.347769,-1.0694338
2606923,Member for Colchester (Sir Bob Russell) was risible.,Lab,3,16,1.0,8.09033,-3.4069972
2610548,You haven't read it.,Lab,99,-1,0.0,8.761015,-0.6244295
2630520,Gentleman has raised this issue with me in the House before.,Con,16,2,1.0,7.16051,-1.3456603
2648230,Will she assure the House that she will look personally at every undercover operation and check that nothing so dreadful is going on today?,Lab,12,3,1.0,7.84984,-2.2707407
2681557,I thank the hon.,Con,12,0,0.7807867398579895,6.622708,-0.3114269
2689085,I meant 2014.,Con,99,13,1.0,9.455854,-0.33102566
2702418,"Friend the Member for Stirling (Mrs McGuire) reminded me of Gavin Cleland, whose son tragically died in the incident.",Lab,12,16,0.8097630282312914,8.217358,-3.4648356
2833386,"The question, surely, for Labour Members, not least those on the Front Bench, is this: if they do not like our way of doing those things, which they agree are worth while, what is their way?",Con,12,-1,0.0,11.358749,-2.070476
3184430,"Indeed, the hon.",LibDem,12,0,1.0,6.1030674,-0.3264489
3191183,"Members on both sides of the House, and I am only one of many voices who have been calling for progress.",Con,6,15,1.0,8.418606,-1.0673637
3360204,"No, my hon.",LibDem,4,0,1.0,6.104937,-0.21540566
3380809,"No journalist is embedded in IS, which would be a suicidal thing to do.",Con,19,-1,0.0,9.362026,-2.4108253
3442901,"I, too, congratulate the hon.",Lab,12,0,0.6211921582821541,6.695166,-0.3621024
3457769,"Member for Tooting (Sadiq Khan) was absolutely right to point out that many of those may well not have been convicted of any crime, but have been simply awaiting trial.",Con,12,11,0.8943969640714466,9.4927435,-3.0380602
80,Members across London.,LibDem,99,16,1.0,8.267712,-3.429302
7936,This Bill has wide support in Wales and I am grateful today for the support of Welsh Members on both sides of the House and Members from across the border-,PlaidCymru,21,4,0.8911397384492586,12.137583,-4.473476
7978,"Again, I echo the comments of other hon.",LibDem,3,0,0.16024207859363615,5.6752696,0.27501112
8430,"The Member for Ribble Valley (Mr. Evans) talked about the cost of walk-on fares from London to Manchester, Newcastle or wherever.",Lab,10,21,0.797050089870284,13.580018,-2.7211502
8942,I echo the tributes that other hon.,Con,3,0,0.16024207859363615,5.6972895,0.25437924
9070,May I echo the request from my hon.,Con,99,0,0.16024207859363615,5.746647,0.22182137
10483,"May I first, in this era of heightened precaution, declare my entry in the Register of Members' Interests and my interest as a vice-chairman of the all-party parliamentary group on autism, a subject which features large in the debate?",Con,6,15,1.0,8.555836,-1.353875
12012,We will miss his common sense and dedication to Wales.,Con,7,4,0.9297966917948034,12.033638,-4.749738
12597,"The Europe Minister, too, is to sit in the House of Lords, and will be beyond the scrutiny of most elected representatives.",Con,19,9,0.658204935153758,10.301753,0.26291898
12835,"The Labour party, unfortunately-or fortunately-has been completely routed in the south-west, and has no Member of the European Parliament there.",Con,19,-1,0.0,11.581752,-2.1694636
14770,Members mentioned what happened in Germany this week.,Lab,19,-1,0.0,11.053085,-0.27072963
15574,Members would presumably think it was the case for the Republic of Ireland.,Lab,19,1,0.9166380623201947,9.017305,-4.245307
16310,"There has been a great deal of comment, in the House of Lords and elsewhere, about a case in 2003 known as A. v. the United Kingdom.",Con,20,-1,0.0,9.548919,-2.9903624
16935,Member for South Holland and The Deepings (Mr. Hayes) referred to the background of my right hon.,Lab,6,16,1.0,7.763104,-3.279527
21718,"Member for Hornsey and Wood Green (Lynne Featherstone) expressed concern that the NHS across London faces cuts, as she put it.",Lab,3,-1,0.0,11.69036,-3.8401165
21739,Member for Meirionnydd Nant Conwy (Mr. Llwyd) was one of three Back-Bench Members from Wales who contributed to the debate.,Lab,21,16,0.9760823498859259,7.974366,-2.9352975
23140,May I just point out that I am not the Member for Scotland?,Lab,21,20,1.0,13.835759,-4.239335
25640,"I also echo the tributes to the all-party group, of which I am a member, and especially to the leadership of the hon.",LibDem,3,15,1.0,8.103494,-1.2725911
31049,I have been in too many houses like that in the north of Ireland not to know how deep the cuts are.,DUP,21,19,0.9064452632250342,11.753524,-3.7746723
31105,Member for Middlesbrough would take us in the direction that Greece followed.,Con,1,9,0.5853782434169641,12.009489,0.94337076
32602,"He has had a distinguished career as an economist, as a Member of the European Parliament and as an eloquent Member of this House since his election in 2005.",Lab,19,9,0.8064073447550233,10.376808,0.29306248
32689,Members here have asked me what the notable differences are between being a Member of the European Parliament and being an MP.,Con,19,15,1.0,8.698033,-1.1846298
33447,"I shall unashamedly concentrate my observations on economic matters, in my capacity as the Member for the City of London, and on constitutional reform, which I broadly welcome as a long-time and robust supporter of House of Lords elections.",Con,1,-1,0.0,10.037281,-1.2217472
34744,"As this House is aware, however, with the situation in Greece and the need for a support package from the other eurozone members, there is no doubt that the eurozone as a whole faces real challenges.",Con,19,9,0.8683851427413278,12.041343,0.71879756
35359,To echo the comments of most of the hon.,LibDem,12,0,0.16024207859363615,5.67182,0.25549552
41158,One subject that I want to mention is precisely what the job of a Member of Parliament is in the modern era.,Lab,20,15,1.0,8.635906,-1.1941226
42041,I am grateful to the Leader of the House for advance notice of Monday's ministerial statement on the European Council.,LibDem,19,-1,0.0,8.370443,-1.4050753
44894,"Friend the Member for Blackburn (Mr Straw)-a colleague from this side of the House, in this place-which was an attempt not only to influence the talks in New York, but to set in motion a political dialogue in Europe that would call for partition.",Lab,19,16,0.9760823498859259,8.069946,-3.0344162
47635,"As a member of the European Parliament, I was there at the start of the EPP debate in Brussels, and it evolved a little like this.",Con,19,9,0.6840073345327367,10.801065,0.3927529
48234,Opposition Members have been heckling me about Wales.,Con,6,4,1.0,12.076538,-4.7276626
49929,"There might be no doubt in our minds that Parliament is sovereign and that the functions and powers to which he has just referred are simply delegated to the European Union by this sovereign House, but because such misunderstandings exist, it is time for the House to make a clear declaration that sovereignty and ultimate legal authority still rest with the House of Commons.",Con,19,9,0.6388070624407289,10.575399,0.42948467
50586,May I echo the call of the shadow Leader of the House for a debate on bank bonuses?,Con,15,-1,0.0,8.855819,-1.5635413
52051,"Friend is right about the House of Lords: whether we go further into or come out of Europe is a matter that should start in the House of Commons, because this is the House of the people.",Con,19,9,0.6516111987639556,10.652496,0.4150476
53448,"Friend the Member for Glasgow East has observed, those of us who were fortunate enough to be part of that day will forever feel that we were part of the history of Scotland.",Lab,20,20,1.0,13.84423,-4.1392193
54834,"I am a member of the all-party parliamentary group on Ukraine, which is next to Russia.",LibDem,20,10,1.0,10.862101,2.2365413
55369,"Friend the Member for Christchurch (Mr Chope) is one of the members of that sub-committee who successfully rejected a slate of three candidates put forward by Portugal four months ago, and Portugal had to go back to find some candidates who were acceptable to us.",Con,19,16,0.8985741390337383,8.076344,-3.2071974
55982,I echo what all hon.,Con,8,0,0.16024207859363615,5.671223,0.2748541
56385,I echo the comments of my hon.,LibDem,10,0,0.16024207859363615,5.705573,0.27675164
57095,I echo my hon.,Lab,1,0,0.16024207859363615,5.6714225,0.277988
64209,"Member for South Holland and The Deepings (Mr Hayes), but I know that the hon.",,20,16,1.0,7.8077555,-3.3434298
70110,"Some Members will remember when, back in 2006, the Daily Star tried to produce a racist front page, but the workers, backed by their union and Members on both sides of the House, refused to publish it because of the damage it would do to community relations.",Lab,17,-1,0.0,8.404735,-2.2475955
74918,"As the House knows, EU accession to the COE was one element of the treaty of Lisbon, which was ratified by all 27 member states in 2009.",Con,19,9,0.9549271162810031,10.905639,0.92763853
89966,"Member for Cities of London and Westminster (Mark Field) in the Chamber, and many of us have a constituency interest-big and small-in where the sites should be.",LibDem,21,16,0.9482643472333682,8.319841,-3.4481685
90237,"Members from both sides of the House agree that Europe must get to grips with the problem, because throwing perfectly good fish back into the sea is utterly unacceptable.",Lab,4,5,1.0,13.858417,-0.8171479
90323,"It may be frail, its roof may shake; the wind may blow through it; the storm may enter, the rain may enter-but the King of England cannot enter”.",Con,2,22,0.8826531296865349,13.357282,-2.950458
93420,Let us consider what is going on in the rest of Europe.,Con,1,9,1.0,11.537351,0.8342483
97024,Friend the Member for Cities of London and Westminster (Mark Field) was cursorily rejected by the hon.,Con,1,16,1.0,8.364594,-3.4350107
97087,Friend is a distinguished Member of this House and a former Secretary of State for Wales.,Lab,21,-1,0.0,8.48358,-3.1180146
97794,To echo the comments of the hon.,Lab,19,0,0.16024207859363615,5.6943216,0.25067195
98372,I do not think that the current House of Lords accurately reflects the diversity of the United Kingdom.,Lab,20,-1,0.0,10.780777,-1.3625145
98425,"On the issue of the interesting demographic profile of the House of Lords, it is not just one of age; it is also very striking that close to half the people in the House of Lords come from London and the south-east.",Con,20,-1,0.0,10.992753,-2.7788284
98818,Many Members told the Procedure Committee they feel that earlier sittings would compromise the ability of Members from constituencies distant from London to make the journey to Westminster on Mondays-the point well made by the hon.,Con,20,-1,0.0,9.425351,-1.6158891
100972,"It is time that the House of Commons understood what the European Union is doing to the lives of those people, because we are complicit in that crime in allowing it to go on.",Con,19,9,0.6096451017735367,10.640849,0.749234
102478,I echo what was said by my hon.,Con,99,0,0.16024207859363615,5.629783,0.32060248
103214,"Friend the Member for City of Chester (Stephen Mosley), who talked about the appalling failing of West Midlands police and the agony that the family of Kevin Williams went through.",Con,12,16,0.9600863683191247,8.196844,-3.400146
104121,"In Yorkshire and Humberside, that figure is 6.2%, or 326,000.",Lab,3,19,0.9861036286642002,12.688045,-3.267138
105143,Membership of Schengen requires Croatia and any other member of Schengen to go further.,Con,19,-1,0.0,11.854015,2.1536465
106477,"Referring to a report by Birmingham MEP Philip Bradbourn, the noble Lord said:“It was drawn up in April this year and, I believe, was passed by the European Parliament in May.",DUP,10,-1,0.0,10.888092,-0.05940735
107253,"As has been mentioned, we recently discussed the accession of Croatia to the EU in the House.",Lab,19,-1,0.0,11.884308,2.1805477
109698,"He said that his members had more in common with the London dockers, the Durham miners and the Sheffield engineers than they had ever had with the “barons and landlord traitors”, as he called them, of Scotland.",Lab,1,16,0.846101151590241,8.20556,-3.4957328
114649,The Leader of the House has announced a debate next week on Europe.,Lab,20,-1,0.0,9.929324,0.41349322
114668,May I echo the call from my hon.,Con,20,0,0.16024207859363615,5.714719,0.25204343
115199,"Members will see this, too-we get correspondence from Sinn Fein Members saying that they will arrive here on sporadic visits to inform people and Members about the situation in Northern Ireland.",DUP,20,1,0.785210487370069,8.959702,-4.2866197
118701,"Friend the Member for Thurrock (Jackie Doyle-Price) for sharing her experiences in Kosovo, and the hon.",Con,12,16,0.9834906015206833,7.9066005,-3.4485087
118894,"Friend the Member for Cities of London and Westminster, with all the resources of the City of London behind him, at the behest of the Department got leading counsel's opinion on the matter.",Con,99,16,0.782420141332071,8.410196,-3.238567
118917,Member for Cities of London and Westminster (Mark Field) for missing his speech.,Lab,99,16,1.0,8.300108,-3.47804
119374,Members across the House need no reminding of the respected and thriving Sikh community in the United Kingdom that has such a long and proud history.,Con,19,-1,0.0,10.233654,-1.5302378
123003,Friend the Member for Cities of London and Westminster (Mark Field).,Con,99,16,1.0,8.247946,-3.3972495
127533,"We are not a full-blown member of Frontex, but its executive director has said“we do not see any difference between our UK colleagues and the others”.",Con,12,9,0.6806965363896021,11.350477,0.13053453
132093,"Member for Waveney, highlighted the fact that this is not just about Scotland; it is a broader tragedy.",LibDem,15,20,1.0,13.766524,-4.1943154
135172,I echo hon.,Con,18,0,0.16024207859363615,5.651253,0.29267773
152179,I think that doing that may be one of the longer-term consequences of what Russia has done in Crimea.,Con,19,10,1.0,10.910703,2.2730396
152421,"Like my Friend the Member for Holborn and St Pancras, who has the neighbouring constituency, I represent inner London where the housing crisis is acute beyond belief.",Lab,14,-1,0.0,11.23542,-3.057506
152792,"Friend the Member for South Holland and The Deepings (Mr Hayes), who oversaw the start of this expansion.",Con,5,16,1.0,7.7924604,-3.3244393
153123,"None of the Plaid Cymru Members came, but it was attended by apprentices and graduates from Wales, who have jobs on the Wylfa site.",Lab,21,4,0.7296454566198708,11.99037,-4.772379
155813,"That is in sharp contrast to the rest of Europe, where unemployment averages 10.9%.",Con,1,19,1.0,12.249816,-3.4074223
156280,I echo the accolades that my hon.,Con,3,0,0.16024207859363615,5.6836843,0.27331185
160833,"According to the House of Commons Library, 200,000 UK jobs depend on trade with the Republic of Ireland-double that of Canada and Norway.",SNP,18,19,0.8941469349758755,12.9059515,-2.7046647
160868,I echo the words of my hon.,Con,21,0,0.16024207859363615,5.68547,0.27105826
161424,"Before turning to the Foreign Secretary's remarks on Ukraine, may I first briefly address the recent horrific events in Nigeria?",Lab,19,10,1.0,10.837092,2.1199014
163179,To echo the comments of my hon.,Lab,1,0,0.16024207859363615,5.691134,0.26175857
163447,Opposition Members might be yawning; people are not yawning in Wales because they are stuck on waiting lists desperate for treatment.,Con,21,4,1.0,12.012141,-4.7145834
164407,A recent House of Commons Library note shows a long-term steep decline in house building in England in the past 35 years.,GPEW,14,23,1.0,11.575202,-3.0577278
164733,"However, I think there are many in Europe who understand that we need a totally different approach for the eurozone members than for the non-eurozone members.",Con,19,9,0.8635545886581799,11.757079,0.77398074
165627,I am sure that the whole House will echo my hon.,Con,12,0,0.16024207859363615,5.6832495,0.26941085
165763,The House will lead the way in Europe.,Con,19,9,0.7542574680785008,11.219599,0.53643787
166417,"Gentleman be good enough to explain to me and the House why we have an arrangement with the European Union on this basis and not one to deal with other murderers, traffickers and the rest of it in the rest of the world?",Con,12,9,0.5236540395151439,10.919325,0.93333685
167918,"Members may be aware that in June, HMRC advertised up to 2,100 vacancies primarily in compliance roles-up to 680 of which will be based at offices in Scotland.",Con,21,20,0.6238424862058612,13.344763,-3.1588123
172091,"Member for Cleethorpes (Martin Vickers), who has had a tradition of opposition to the European Union going back many years, as have many Conservative Members.",Lab,19,16,1.0,8.10978,-3.3677585
173201,I echo what my hon.,Con,3,0,0.16024207859363615,5.6707215,0.2817413
174039,Gentleman cannot ask the rest of us to have no discussion about the affairs of the rest of the United Kingdom.,Con,20,-1,0.0,10.1463785,-1.1286668
174975,I echo the hon.,Con,15,0,0.16024207859363615,5.6541305,0.291299
175102,"Members wrote to me, presumably independently of each other because I do not think that Members are in the habit of sharing their letters to the Speaker with each other, to indicate that they intended to speak in the debate on the European arrest warrant.",,12,15,1.0,8.287299,-1.2690592
180503,Waiting lists have been coming down because the eligibility criteria for housing have been tightened.,Lab,13,23,1.0,11.471828,-3.003685
147999,A number of them have been very thoughtful and interesting.,Lab,1,15,0.9208861742514378,8.535278,-1.3617147
391800,Investment in community services remains a high priority for us.,Lab,13,-1,0.0,11.824401,-1.7859458
458801,What level of charges has been assumed?,Con,10,11,1.0,9.870669,-2.4659338
579799,People on low incomes who depend on such benefits to make ends meet do not have time for endless pontification from the DWP.,LibDem,18,19,0.8081277393564789,11.860977,-2.797773
611756,"We are determined that the levels of investment in Cadbury UK are maintained and that, at a time when people are worried about their jobs, the utmost is done to secure those jobs.",Lab,15,-1,0.0,12.441428,-1.7690958
958806,It may sound absurd but it was and remains incredibly difficult to gain firm information on such bodies.,Con,20,-1,0.0,9.443858,-3.3194413
1001495,"We are not asking for any favours for Cornwall, as I have said.",LibDem,20,20,0.4053041365359045,13.971984,-3.5119793
1587488,"As I understand it, the firm had behaved properly in simply carrying out the standard CRB check.",Lab,2,-1,0.0,11.958847,-0.6125963
1797801,"Friend the Member for Kirkcaldy and Cowdenbeath (Mr Brown), got together with Barack Obama to ensure that we delivered a fiscal stimulus, and that there was not a depression.",Lab,1,-1,0.0,8.236131,-2.8218966
2140880,We seem to be in a no-growth situation.,Lab,1,18,1.0,12.037048,-1.515744
2235741,That is not being taken away.,LibDem,10,13,1.0,8.596141,0.01936329
2541820,How many weeks has the Labour party believed in this policy?,LibDem,1,-1,0.0,11.206659,-2.0795336
2890035,That is why a plan is so important.,Con,14,13,0.9478031748912787,10.047591,-0.74406314
2927622,"First, Oprah Winfrey bid for it, then Elton John.",Lab,20,-1,0.0,8.562844,-2.1528234
3034887,It is a huge incentive.,DUP,8,18,1.0,11.540836,-1.5067273
3199764,"Newham has a lower incidence of cancer than many other areas, but, sadly, our mortality rate is higher, owing mainly to late presentation.",Lab,3,7,0.7308862792099247,10.944385,-5.0492396
3395549,I share my hon.,Con,4,0,1.0,6.3015695,-0.119759955
3485263,Gentleman has put a motion before the House on the performance of the economy.,Con,1,2,1.0,7.254264,-1.5090402
53618,"We must address the democratic deficit, because we cannot bring change on the scale that we need to deliver the efficiency gain without engaging local communities.",Con,13,-1,0.0,12.130718,-1.236057
386812,"Does he agree that the Electoral Commission does not oppose the change, as is sometimes reported, but says simply that the House will need to consider the consequences carefully?",Lab,20,-1,0.0,9.564698,-0.4301053
618689,Gentleman and his party whatever.,Lab,21,2,1.0,7.2595334,-1.356587
619085,"To make it clear, the law applies to religious organisations when they employ people in non-religious jobs in the same way that it does to everyone else.",Lab,2,14,0.8443046934829341,9.653394,-2.1021638
841238,"There are eight official stages to the BSF process, but each one contains its own substrata of complexity.",Con,6,-1,0.0,9.944108,-0.3749734
998544,"Whilst Google considered it unlikely that it had collected anything other than fragments of content, we wanted to make our own judgment as to the likelihood that significant personal data had been retained and, if so, the extent of any intrusion.",Con,17,-1,0.0,9.827905,-0.92456424
1003798,"Of course we want to ensure that there is no opportunity for corruption in the use of postal ballots, but my experience is that many elderly and other people, particularly those who cannot predict the precise timing of their work commitments, value the current provisions on postal voting.",Lab,2,-1,0.0,10.900742,-1.8079793
1063797,Gentleman brings a lethal mix of incompetence and ideology to this crucial brief.,Lab,6,2,1.0,7.3273907,-1.3210621
1099435,"The two Front-Bench speakers will take up 15 minutes apiece, so there is scope for other speeches to be made.",,2,15,1.0,8.083138,-1.1453711
1222335,"On pay transparency, again we have a damp squib.",Lab,15,-1,0.0,11.252262,-1.6941394
1335223,Its purpose is to clarify the roles and responsibilities in law.,Con,12,11,0.7354343529862517,9.802971,-2.1232376
1378452,"I pay tribute to them, because they have struggled and are on the front line.",Con,15,-1,0.0,8.310073,-2.305686
1597784,I absolutely concur with her view that most people have no idea what they are doing when they vote.,Con,2,3,1.0,7.8738728,-2.2480495
1638562,"What is less clear is why this has not always been tackled and what needs to happen to effect change.”People have talked about a culture of indifference or, worse, of neglect, and ask what has happened to common compassion and kindness.",Lab,3,-1,0.0,10.525238,-3.1894841
2033380,"In the short time available, I wish to address two subjects.",Con,3,-1,0.0,8.458776,-0.79825664
2383235,"This dreadful provision should be revoked immediately, and people should come to their senses before it is too late.",Lab,13,13,0.938755676716798,10.165991,-0.6653026
2693317,I shall give examples of people who that arrangement might suit.,LibDem,5,-1,0.0,8.944816,-0.92635256
2806704,"Lady checks her facts, because I believe the decision not to fingerprint clandestines at the juxtaposed controls was actually taken before the 2010 general election.",Con,2,3,0.8577626221120622,8.048478,-2.0648134
2968173,There are eminent people in the Responsible Gambling Trust and I endorse what my hon.,Lab,15,-1,0.0,11.433234,-1.3094134
2980106,"She has mentioned the Opposition day debate, in which there was a vote and the House voted against her point of view.",Con,12,3,0.9841497974520623,8.089815,-2.2014725
3208682,"Friend the Member for Aldridge-Brownhills (Sir Richard Shepherd), whom I respect hugely on these matters, but there is a balance to be struck between defending the liberties of our citizens and protecting us from terrorism.",Con,2,16,0.8621003932389157,8.28339,-3.0999858
3314143,That is why we have done things such as introduce the claimant commitment.,Con,5,-1,0.0,10.641804,-1.5408415
3426643,A recent report in a newspaper called The Register stated:“The capacity crunch has been predicted for about seven years...,Lab,10,-1,0.0,11.553046,-1.3402988
3521664,"When it comes to such dreadful stereotypes, a variety of sports people have got into trouble recently for their racist, sectarian or anti-Semitic remarks.",DUP,2,16,0.7034189922138308,9.312894,-2.787521
5624,Apart from mentioning the Liberal Democrat Member of the European Parliament who voted against the interests that the hon.,Lab,19,9,0.632860374038383,10.154089,0.36301583
5929,Member for Cities of London and Westminster (Mr. Field) is absolutely right that BIDs and the BRS will do different things in different places.,LibDem,15,22,1.0,11.553096,-2.3949406
33524,"As far as I can tell from their contest at the moment, they seem to think that they just did not speak enough about immigration and Europe in the campaign.",Con,20,9,0.7745322680027488,11.403271,0.56386346
43490,Member for Lagan Valley (Mr Donaldson) made an important point about the potential threat in Northern Ireland.,Con,16,1,1.0,9.016798,-4.393112
64580,I would then join with everyone in this House and beyond who supports our United Kingdom to ensure that we keep it together.,Con,20,8,1.0,11.231808,-0.7116547
78378,"Members by going into that in detail-I will assume a degree of understanding-but essentially, under the European arrest warrant scheme, people can be extradited for acts and behaviours that, no matter how abhorrent we may consider them-xenophobia is the most well known example-are not criminal offences in the UK.",Con,12,11,0.8104057237623868,10.026894,1.0042344
84688,"Suggesting that 20,000 people leaving London will be easy is an easy soundbite, but I simply do not believe it.",LibDem,14,22,1.0,11.49699,-2.526307
113813,"There are a finite number of abattoirs, slaughter houses and renderers both here and in the Republic of Ireland, so must it not be possible, in fairly short order, to discover where the horsemeat entered the food chain and react accordingly?",Con,4,-1,0.0,12.194888,-1.8282776
125116,"In Greece, people are moving towards the Nazis and extreme communists.",Lab,19,9,0.5853782434169641,11.967061,1.1800884
131481,"We went through the various permutations, and d'Hondt was the one that most people were familiar with, because of their experience with the European Parliament.",SDLP,21,9,0.6779456208180842,10.291009,0.40761665
150285,"Members spoke in the debate about the jobs that could be created; the figure for Northern Ireland was almost 15,000.",DUP,15,1,0.7961440494584859,9.232438,-4.3842278
154688,I agree entirely with what everyone has said about the need for us to speak with one voice in ensuring that we do not allow Russia effectively to get away with it.,Lab,19,10,1.0,10.897496,2.2508252
26736,I pay tribute to Stewart Hulse from mountain rescue in my constituency-another MBE-who has been leading the way in that matter.,LibDem,21,15,0.792739610304546,8.297083,-2.309548
414237,"I congratulate all petitioners, who do a great public service in defending their community by signing the petition.",Independent,14,-1,0.0,8.118553,-0.78489476
602502,"It seems to me inevitable that there would be clashes between staff and boys, and of course staff are highly trained to deal with those circumstances.",Con,12,12,0.8575026016755298,10.459821,-3.4518485
705810,Lady give way?,Con,99,-1,0.0,7.2606206,-1.7976867
816798,Given what the hon.,Con,8,0,0.8505765214459182,6.2126575,-0.28831667
894161,That is the whole point.,Con,99,13,1.0,7.916296,0.016439172
1023932,They operate in ways that undermine that profession.,Lab,15,12,0.8191398674462612,10.876019,-3.677008
1084563,"I stress, as my hon.",Lab,3,0,0.8275620293391829,6.470994,-0.15184565
1147270,"Indeed, the IBA covers more than just the counter services.",Lab,20,6,0.49895348298024594,11.552296,-1.6944053
